run_id,run_status,model,quantization_level,task_type,row_id,prompt
run_0017,PENDING,LLaMA-2-3B,INT8,SUMM_LONG,2475,"Context: ""(CNN) -- Injuries continue to strike down the planet's top football players ahead of this month's World Cup in South Africa, with Dutch star Arjen Robben's participation in doubt and key Nigeria midfielder Jon Obi Mikel forced to withdraw. 

Robben, whose inspired form this season took German club Bayern Munich to the final of the Champions League, has not joined his teammates in flying to Africa after suffering a hamstring injury on Saturday. 

He scored two goals after coming on as a second-half substitute in a 6-1 friendly romp over Hungary in Amsterdam, but needs a scan on Sunday after hurting himself trying to execute a fancy backheel pass. 

\""I would rather lose this match and have Arjen stay fit,\"" Netherlands coach Bert van Marwijk said on Dutch Web site www.vi.nl. \""He felt a sharp pain. That does not bode well. But I do not lose hope.\"" 

Robben had returned to action after missing Tuesday's 4-1 international friendly rout over Ghana in Rotterdam on Tuesday. 

Earlier on Saturday, Nigeria officials reported that Mikel has decided he has not recovered sufficiently from knee surgery, meaning he joins teammates Michael Ballack (Germany), Michael Essien (Ghana) and Jose Bosingwa (Portugal) from his English club Chelsea in missing the tournament. 

The 23-year-old Mikel missed the end of Chelsea's season, which culminated in a league and cup double. 

\""We have dropped Mikel from the World Cup squad after he told the team he did not want to put his career at risk as his knee injury has yet to fully heal after a recent surgery,\"" Nigeria team official Emmanuel Attah said in quotes carried by the Chelsea Web site. 

Another Chelsea player, Ivory Coast striker Didier Drogba, may also be sidelined for the month-long event after suffering an elbow injury against Japan on Friday. 

He had a \""successful\"" operation in Switzerland on Saturday, according to Ivory Coast officials, but they could not yet say if he would be fit to take part. 

Mikel followed England captain Rio Ferdinand in being denied a chance to play on soccer's biggest stage, with the defender suffering a knee injury on Friday. 

He has been replaced in the 23-man squad by Tottenham defender Michael Dawson, with Liverpool midfielder Steven Gerrard taking over as skipper and Chelsea's Frank Lampard named as his deputy by coach Fabio Capello. 

World champions Italy also have an injury problem, with key midfielder Andrea Pirlo suffering a calf injury against Mexico on Thursday. 

The 31-year-old has been ruled out of Saturday night's final friendly against Switzerland, and is battling to be fit for the Azzurri's Group F opener game against Paraguay on June 14. 

Marcello Lippi's team came from behind to draw 1-1, with striker Fabio Quagliarella's 15th-minute goal canceling out Gokhan Inler's opener. 

Slovakia defender Martin Skrtel also suffered an injury blow on Saturday when he had to go off in the 16th minute of the 3-0 friendly win over Costa Rica after damaging his ankle. 

The center-back, who plays for English club Liverpool, had previously played only once since breaking a bone in his foot in February. He is expected to be fit for the World Cup after resting his injury. 

In Saturday's other friendlies, the United States beat fellow qualifiers Australia 3-1 with two goals from Edson Buddle and another from fellow forward Herculez Gomez, who came on as a substitute. 

The 29-year-old Buddle, starting in place of the injured Jozi Altidore, netted his first goals for his country as he continued the form that has him at the top of the Major League Soccer goalscoring charts this season. 

Midfielder Tim Cahill leveled for Australia in the 19th minute. 

Hosts South Africa notched another morale-boosting win by beating fellow qualifiers Denmark 1-0 in Atteridgeville, as striker Katlego Mphela netted his fourth goal in three matches in the 76th minute. 

Coach Carlos Alberto Parreira's team will kick off the tournament against Mexico in Johannesburg's new Soccer City stadium on Friday. 

Ghana won 1-0 against Latvia in England with""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0031,PENDING,LLaMA-2-3B,INT8,SUMM_LONG,3553,"Context: ""(CNN) -- Sri Lankan cricketers have described for the first time how they feared some of their teammates had been killed during a deadly attack on the team bus by gunmen in Pakistan -- and paid tribute to the driver of the bus for saving their lives. Thilan Samaraweera is due to undergo surgery to have a bullet removed from his leg. Six police officers and a driver were killed in the ambush by around a dozen attackers armed with automatic weapons as the players made their way to Lahore's cricket stadium early Tuesday. Two players, Tharanga Paranavitana and Thilan Samaraweera, suffered gunshot wounds to the chest and leg respectively while six others suffered shrapnel wounds. But vice-captain Kumar Sangakkara told CNN he believed Paranavitana had been killed when he collapsed after being shot. \""I was lying on the ground. I heard Thilan (Samaraweera) groan and I heard Tharanga Paranavitana say something. I turned around and a bullet whizzed past my head and hit the seat in front of me. And then I got hit in the shoulder by shrapnel,\"" Sangakkara said. \""Then I saw Tharanga Paranavitana get up and say 'I've been shot' and then he collapsed on the seat. I really thought he was seriously hurt or even dead.\"" Read profiles of the wounded players » Describing the initial moments of the ambush, Sri Lanka coach Trevor Bayliss said there had been an explosion \""which someone said later was a rocket launcher that missed the bus and went over the top and hit somewhere in front of us.\""  Watch footage of the gunmen staging their attack » He said two cars then pulled up in front of the convoy, blocking its path. Gunmen jumped out of the cars and started firing, sending bullets ripping through the bus. \""By that stage everyone was on the ground,\"" Baylis told CNN. \""Surprisingly it was very calm. There was not a lot we could do except keep low as possible and hope for the best. Every now and then someone would just yell out and say 'I'm hit.'\""  Watch Bayliss talk about his experience » Sangakkara said someone at the front of the bus had shouted to the players to take cover. \""Some of the guys looked up to see what was going on because the bus just swerved a bit and almost came to a stop,\"" he said. \""Suddenly we heard a couple of explosions getting closer. And then someone from the front of the bus shouted 'They're shooting at the bus -- get down!' That's when we just hit the deck and suddenly we heard bullets thudding into the bus. It kept going for about a minute.\""  Watch Sangakkara describe how players ducked for cover » A Pakistani security official on the bus then shouted to the driver in Urdu to \""go, go go!\"" Sangakkara said. \""I think we owe our lives to him -- he just put the bus in gear and drove straight through the carnage straight to the ground,\"" he said. \""They tried to shoot the bus driver first and missed and the guy had the presence of mind to do what was needed to save all our lives.\"" Baylis also praised the driver of the bus for his bravery. \""He jumped back in his seat with all the bullets coming through the bus and he got us into the stadium. It wasn't until we got into the stadium that we could see how hurt some of the players were,\"" Baylis said. Once inside the stadium the players received medical attention. \""Everyone still seemed confused and shocked but the mood was quite upbeat,\"" said Sangakkara. \""A few jokes were being cracked, people were talking to each other, making sure everyone was ok, everyone made a great effort to keep the mood lighter than it could have been in that situation and that's helped a lot of the guys to get through it.\"" Sangakkara said he'd had some of the shrapnel removed from his shoulder inside the stadium. He also underwent surgery to remove some more after arriving home in Colombo earlier""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0040,PENDING,LLaMA-2-3B,INT8,SUMM_LONG,3947,"Context: ""(CNN) -- The government of earthquake-ravaged Haiti must become more visible now, even amid a global outpouring of aid as the impoverished island nation struggles to recover, Brazil's foreign minister said Monday. 

\""The government, in spite of all the difficulties, should appear more to the people,\"" Brazilian Foreign Minister Celso Amorim said in an interview with CNN's Christiane Amanpour. 

\""I think it's important because after all, they are the ones who transmit the needs of the Haitian people to us, to the international community.\"" 

Amorim, speaking from an international conference on Haiti in Montreal, Canada, said it's important for the world to follow the priorities of the Haitian government. 

\""We cannot lose sight of the central role of the elected leaders of Haiti,\"" he said. \""Haiti is a country that has an elected government.\"" 

Amorim was among more than a dozen foreign ministers and leaders, including U.S. Secretary of State Hillary Clinton, attending the Montreal conference. Representatives of many international institutions such as the United Nations and the European Union were also there. 

Find loved ones in Haiti | Full coverage 

Speaking in Montreal, Clinton said, \""As part of our multilateral efforts to assist Haiti, we should look at how we decentralize economic opportunity and work with the Haitian government and people to support resettlement, which they are doing on their own, as people leave Port-au-Prince and return to the countryside.\"" 

Haiti's Prime Minister Jean-Max Bellerive was also in Montreal. He said the international aid effort has only just begun. 

\""I can simply tell you that the population is in need of more and more and more to confront the massive task of reconstruction,\"" Bellerive said. 

The aim of the Montreal meeting is to develop a strategy for early recovery and longer-term reconstruction. Once the strategy is set, a donors' conference to secure funding for Haiti would take place. 

Amorim told Amanpour he expected the donors' conference is likely to take place at the end of March, possibly in New York, though that was not confirmed at the time of the interview. 

\""We cannot endure, we cannot see a disaster of the size of Haiti, with the poverty that exists in Haiti, and not do anything,\"" he added. 

\""If you don't act for development, for emergency now and development immediately, you'll be having an enormous security problem.\"" 

Interactive map: Where to find aid 

Amorim told Amanpour that as part of his country's efforts to bolster security in Haiti, the Brazilian Congress Monday approved a plan to almost double the number of Brazilian troops in the U.N. force in Haiti, to as many as 2,600 soldiers. 

The U.N. force there, known as MINUSTAH, has been led by a Brazilian general since 2004. It lost dozens of its civilian headquarters staff during the earthquake. 

Amorim, who has just been to Haiti, said it was also vital to rebuild the country's national symbols. 

\""I think this is very important so that the Haitian people feel also not only that they are receiving food and water, but also they are recovering their self-esteem,\"" he said.""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0054,PENDING,LLaMA-2-3B,INT8,QA,8199,"Context: ""NEW DELHI, India (CNN) -- A 3-month-old girl born to an Indian surrogate mother has flown to Japan to join her biological father after spending the first months of her life in legal limbo.

Baby Manjhi and her grandmother flew to Osaka, Japan, from the Indian capital, New Delhi, Saturday night, said family friend, Kamal Vijay Vargiya.

While some countries have banned surrogacy as a money-making venture, it has been legal in India since 2002.

Under the practice, infertile couples are matched with local women to carry babies for $12,000 to $30,000.

Baby Manjhi was conceived when a Japanese couple paid a clinic in India to have the husband's sperm and an anonymous donor's egg implanted in the womb of an Indian surrogate.

The plan worked. But a few months before Manjhi was born, the couple divorced. The intended Japanese mother decided she did not want the baby.

Manjhi was born on July 25. Her father, Ikufumi Yamada, and grandmother traveled from Japan to pick her up and take her to her new home. But Indian law stipulates that a mother must be present in order for a baby to receive a passport.

In this case, neither the birth mother nor the mother who had originally sought the child wanted to be involved.

Manjhi's father looked into a legal adoption, but Indian law does not allow single men to adopt.

The case garnered international headlines. Eventually, Manjhi was issued a birth certificate with just her father's name on it. And on Saturday, she left for Osaka to be reunited with him.

\""This is for the first time in 28 years in Jaipur that somebody (in such a situation) has been issued travel documents by Indian authorities. And this became possible mainly because of media,\"" said Sanjay Arya, the doctor who treated Manjhi at a Jaipur hospital.

-- CNN's Harmeet Shah Singh contributed to this report""
Question: ""When did the couple divorce?""
Task: ""Answer the question using only the information in the context. Output only the answer phrase."""
run_0055,PENDING,LLaMA-2-3B,INT8,SUMM_LONG,3354,"Context: ""(CNN) -- SeaWorld will resume killer whale shows while the company and two federal agencies investigate the death of a whale trainer at SeaWorld Orlando, company and federal officials announced Friday. 

The shows, which were suspended at all SeaWorld locations after the death Wednesday at SeaWorld Orlando, will resume Saturday with new precautionary measures in place, said Jim Atchison, president of SeaWorld Parks & Entertainment. 

Earlier Friday, the Labor Department's Occupational Safety and Health Administration and the Agriculture Department's Animal and Plant Health Inspection Service announced they were looking into the death of Dawn Brancheau, 40. 

Brancheau was pulled underwater when a killer whale named Tilikum grabbed her ponytail. A source at SeaWorld said that after seizing her, the whale dove deep underwater. Trainers eventually had to wrangle the animal into a smaller pool before they could retrieve her body about 40 minutes later. 

WESH: Watch tourist's video just before attack 

A former head of animal training said Friday that Brancheau left herself vulnerable to attack and that she may have broken the park's training protocol. 

\""Dawn, if she was standing here right now, would tell you that that was her mistake in allowing that to happen,\"" said former SeaWorld trainer Thad Lacinak, who had worked with Brancheau in the past, on ABC's \""Good Morning America.\"" 

Lacinak called Brancheau \""one the best killer whale trainers I ever worked with.\"" 

Still, he said, Brancheau should not have been lying in a slideout -- a platform covered by roughly 4 inches of water -- so close to a killer whale. 

\""When I was there we did have a protocol that you would not do that, you would not lie down in a slideout and get that close to his mouth. 

\""Now, whether she broke that protocol or not I don't know, or if the protocol changed in how they were working with him,\"" Lacinak continued. \""But I'm pretty sure it was her breaking the protocol.\"" 

Atchison said Friday that it's too soon to tell if Brancheau violated protocol. 

\""It's far too early to get to that point,\"" the SeaWorld president said. \""We're really still trying to collect information, trying to understand the nature and scope of the event.\"" 

He declined to discuss SeaWorld's training protocols, saying they are \""proprietary documents.\"" 

Atchison had high praise for Brancheau and said a charitable foundation is being formed to support causes she was interested in. 

He told reporters that video images in connection with the accident have been made available to the appropriate authorities. 

Atchison said Tilikum \""is a wonderful animal\"" and \""will remain an active and contributing member of the team despite what happened.\"" 

\""He's a very special animal that requires special handling. Obviously the procedures that we've had in place are something we're revisiting at this point,\"" he said. 

Tilikum's size and weight -- 12,000 pounds, compared with 6,000 to 9,000 pounds for the facility's other killer whales -- was one reason there were separate procedures in place for him at the Orlando facility. 

When the shows with killer whales resume Saturday at Orlando and other SeaWorld parks, trainers won't get into the water with the animals. \""Direct interactions\"" with the animals were suspended in all three SeaWorld parks after the death. 

Various other improvements and changes will be enacted, Atchison said. 

iReport: Photo taken moments before attack 

Labor Department spokesman Mike Wald said the safety and health agency is looking into whether OSHA workplace standards were violated in the incident. It will complete a report within six months, he said. 

If workplace infractions are found, OSHA will propose financial penalties, Wald said. If that happens, the company could accept the penalties and make any necessary workplace changes or appeal proposed penalties before an OSHA review commission. 

David Sacks, Agriculture Department spokesman, said inspectors are looking into the incident from the animal welfare perspective. 

The Animal and Plant Health Inspection Service wants to know if there were any violations of the Animal Welfare Act, a federal set of minimum""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0063,PENDING,LLaMA-2-3B,INT8,QA,9505,"Context: ""WASHINGTON (CNN)  -- Sen. Mel Martinez, a Florida Republican, announced Friday that he will resign his seat as soon as a replacement can be named by the governor. Sen. Mel Martinez is the only Hispanic Republican in the U.S. Senate. \""My priorities have always been my faith, my family and my country, and, at this stage of my life and after nearly 12 years of public service in Florida and in Washington, it is time to return to Florida and my family,\"" the 62-year-old said in Orlando, Florida. \""So today I am announcing my decision to step down from public office.\"" Martinez said he is resigning \""of my own free will. There is no impending reason; it's only my desire to move on and to get on with the rest of my life.\"" He added that he is in good health and that he expects the next phase of his life will take place in the private sector. \""However, I do hope that I can have a voice to speak out on issues I think are important,\"" he said. Martinez added that he has no plans to run for any other public office. At a news conference at McDill Air Force Base in Florida, Gov. Charlie Crist said he will \""undertake a very thorough, comprehensive, thoughtful process\"" to find a replacement for Martinez. He vowed not to appoint himself to complete Martinez's six-year term, which ends in about 17 months, and predicted that he would reach a decision before the Senate returns from recess September 8. Crist, a Republican, had announced in May that he would not seek a second term as governor and instead would run for Martinez's seat in the 2010 election. Martinez was elected in 2004. He announced in December his intention to retire at the end of his term. Martinez is the only Hispanic Republican in the Senate. He joined eight other Republicans on Thursday in voting to confirm Judge Sonia Sotomayor as the first Hispanic justice to serve on the U.S. Supreme Court. Democrats hold a tenuous filibuster-proof majority in the Senate, with 60 votes. Martinez is one of six Republicans who have stated they would not seek re-election in 2010. But the Florida senator is the second Republican who has decided to leave before the curtain drops on the 111th Congress next fall. Sen. Kay Bailey Hutchison, R-Texas, recently announced her intention to quit the Senate three years before her term expires, in order to run for governor next year. The five other Republicans who are retiring are Missouri Sen. Kit Bond, Kansas Sen. Sam Brownback, New Hampshire Sen. Judd Gregg, Kentucky Sen. Jim Bunning and Ohio Sen. George Voinovich. Two Democrats will not run in 2010: Illinois Sen. Roland Burris and Delaware Sen. Ted Kaufman. Republicans must defend 19 seats next year, and Democrats must protect 18. CNN's Rick DiBella, Mark Preston and Deirdre Walsh contributed to this report.""
Question: ""Which governor will seek the seat?""
Task: ""Answer the question using only the information in the context. Output only the answer phrase."""
run_0070,PENDING,LLaMA-2-3B,INT8,QA,2334,"Context: ""(CNN) -- Hot dogs? Check. Fireworks? Check. Big Ben? Wait a minute... The American Society of Sydney, Australia, helps put together a July Fourth celebration on Sydney Harbour. There may not be international landmarks at your neighbor's Fourth of July barbecue, but for Americans living abroad, they're the perfect backdrop when celebrating independence. To global Yanks, it's just as important -- if not more so -- to throw an Independence Day party that feels just like home. From Buenos Aires, Argentina, to Rome, Italy, Fourth of July soirees are happening on Saturday in nearly every corner of the world. So if your globetrotting lands you in one of these cities over the weekend, consider squeezing an Independence Day celebration into your itinerary. July Fourth, eh? Canada Day occurs a mere three days before the Fourth, and our neighbor to the north lights up the sky for both. Held on the shores of Lake Ontario at the amusement park Ontario Place in Toronto, the Grand Finale for the Canada Dry Festival of Fire is an extensive fireworks display that draws between 15,000 and 20,000 people each year. Choreographed to a surprise playlist, \""the fireworks actually detonate to the beat of the songs, which are voted on by the listeners of [local radio station] CHFI,\"" said Ontario Place spokesman Nick Kondrat. Tickets include an all-day pass to the park, so be sure not to miss the eclectic entertainment, like \""Salsa at Ontario Place,\"" featuring live salsa music, dance competitions and lessons. Fireworks begin at 10:30 p.m. Visit the park's Web site for tickets. Americans in London Town Time Out London lists this event as a \""must-do\"" for Independence Day. Standing out from a slew of holiday gatherings, the 7th annual Fourth of July picnic, hosted by the American expatriate community, begins at 2 p.m. at London, England's, Battersea Park. To keep the kids happy, there will be red, white and blue bouncy castles as well as balloons and face-painting, according to the group's Web site. For the adults, plenty of barbecue will be available for purchase in addition to two fully stocked cash bars. Between softball games and paddleboat rentals at the nearby lake, there's plenty to do for the whole family. For a grand finale, a laser fireworks display starts at 9:45 p.m. Even better: Admission is free all day. When In Rome A blowout event planned a year in advance, the American International Club of Rome's 20th celebration is a patriotic tribute: potato sack races for the kids, swing-dancing lessons with live music and all the s'mores, hot dogs and hamburgers you can stand, said the club manager and event coordinator, Nina Farrell. \""When you're away from home, it's really nice to get together and celebrate and be a little bit American,\"" Farrell said. The celebration will kick off at 5 p.m. with Americans and Italians alike at Marymount International School, ending at midnight with the crackling of sparklers. (Sorry, no fireworks allowed on the school grounds.) For tickets, visit the AICR's Web site at http://www.aicrome.org/. Red, white and blue down under Mary Botto believes it's the little things that help a person become acclimated, and the Fourth of July celebration the American Society of Sydney, Australia, helps pull together is one of them. Botto, the society's president, said this year's party will be held at the Hunters Hill Sailing Club, right on Sydney Harbour. The organization stays true to an American theme, from the food to the fireworks. The one piece of American tradition Botto's group can't replicate is warm weather: July is winter in Australia, so most of the festivities are indoors, except the fireworks, which start around 6 p.m. Everyone is welcome, and locals take part in the fun. \""Australia Day here is huge and I think Australians really respect the fact that we still celebrate even though we're not in our home country,""
Question: ""what other celebrations do they do this for""
Task: ""Answer the question using only the information in the context. Output only the answer phrase."""
run_0072,PENDING,LLaMA-2-3B,INT8,QA,762,"Context: ""(CNN) -- A Mexican woman -- a former inmate in Maricopa County, Arizona -- claims in a lawsuit that sheriff's officers mistreated her during and after her pregnancy, including shackling her while she was in labor and after her Caesarean section. 

The federal suit filed by Miriam Mendiola-Martinez this week comes days after the U.S. Department of Justice alleged the Maricopa County Sheriff's Office, under the leadership of Sheriff Joe Arpaio, engaged in a pattern of discrimination against Latinos. 

Mendiola-Martinez's suit is against the sheriff's office, Arpaio, the Maricopa Medical Center and unidentified male and female officers, doctors and nurses. 

Mendiola-Martinez, a Mexican citizen, alleges in the suit she was arrested October 23, 2009, by Scottsdale, Arizona, police, and was booked into Maricopa County's Estrella Jail on charges of identity theft. She was held without bond under Arizona law. 

According to the police report filed at the time of her arrest, Mendiola-Martinez was accused of using someone else's name, date of birth and Social Security number to obtain work. She was arrested at her place of employment, a department store, while she was vacuuming the floor. 

When arrested, she was six months' pregnant and had developed gestational diabetes and high blood pressure, according to the suit. 

On December 10, 2009, Mendiola-Martinez pleaded guilty to solicitation to commit forgery under a plea agreement. Her sentencing was set for December 24. 

While incarcerated, in what her attorney, Joy Bertrand, called \""two months of hell,\"" Mendiola-Martinez says in the suit that she was told by jail staff she would receive a \""special\"" pregnancy diet. 

That diet, she claims, consisted of \""items such as two slices (of) cheese or ham, two slices of bread, indistinguishable cooked vegetables and occasionally a piece of fruit.\"" She also said she was given two small cartons of milk a day and a pill that she was told was a vitamin. 

On days when she was transported to court, Mendiola-Martinez said, she was given no food during the day. In one instance, she alleges in the suit, an officer taunted her and other inmates with his food, telling them there was no food for them. 

On December 20, four days before her sentencing, Mendiola-Martinez began to have contractions, according to the suit. She was shackled at her ankles and taken to the Maricopa Medical Center, where medical personnel determined she was not in labor and returned her to the jail. 

By the following day, however, her pain had increased. \""Ms. Mendiola-Martinez had been left in the jail visitation room, in extreme pain,\"" the suit says. Guards ignored her attempts to speak to them in Spanish, so she asked an English-speaking person in the room to tell them she needed help. 

She was again taken to the Maricopa Medical Center, where she gave birth to a son via Caesarean section. She was shackled before and after the surgery, according to the suit. 

While she was recovering, a male correctional officer \""insisted that she be shackled to the hospital bed,\"" and the shackles on her feet were painful, according to the lawsuit. 

Asked about the allegations in 2010, Maricopa County Sheriff's Office Lt. Brian Lee said in a statement that Mendiola-Martinez \""was not shackled during or directly after her medical procedure. After the procedure, she did have a soft restraint attached on one leg to her bed to prevent escape.\"" 

Maricopa County sheriff's spokesman Justin Griffin referred to the earlier statement when asked about the suit. 

Lee said Mendiola-Martinez was treated the way any other inmate would be while receiving treatment \""in an unsecured facility. Although she was being held on a Class Three felony, MCSO would have treated other inmates in the same manner.\"" 

Mendiola-Martinez was not initially shackled, thanks to a \""guardian angel\"" guard, Bertrand said, but \""she has her C-section, the guards change and this new guard comes""
Question: ""what was Miriam Mendiola-Martinez  arrested for""
Task: ""Answer the question using only the information in the context. Output only the answer phrase."""
run_0075,PENDING,LLaMA-2-3B,INT8,SUMM_LONG,170,"Context: ""(CNN)  -- An era in American broadcast television will end Friday as the nation finishes its delayed transition to digital TV. Without a converter box, satellite service or cable hook-up, analog TVs will deliver only static now. By 12:01 a.m. Saturday, broadcasters must have shut down their outdated analog transmitters, leaving static to watch for those who are not ready. Stations all over the country will be making the historic switch all day Friday, Federal Communications Commission officials said. American TV viewers were given four extra months to get ready for the switch, when Congress voted early this year to delay the digital TV transition. At that time, an estimated 6.5 million homes -- including many elderly, poor and disabled Americans -- weren't prepared for a February 17 switch to digital, supporters argued. \""In any change this big, there are going to be disruptions,\"" said Michael Copps, the Federal Communications Commission acting chairman. \""We are trying our best to provide people, especially those who are most at-risk, with the help they need to make the switch as smoothly as possible. And we're going to keep offering it after June 12, so people should call us at 1-888-CALL-FCC.\"" People who pay for cable or satellite TV service are unaffected by the change. Republicans opposed the delay, saying the government had given people years to prepare. The end of analog television frees up that part of the broadcast spectrum for other uses. The federal government raked in $20 billion in auctions by selling licenses for the frequencies vacated by local television stations for other commercial uses. Some of the frequencies also have been reserved for emergency agencies to use for communications. Stations have been broadcasting in digital and analog for the past several years, but the switch puts an end to the transition and a form of broadcasting that's existed since the first regularly scheduled television service began in the United States in 1928.""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0077,PENDING,LLaMA-2-3B,INT8,SUMM_SHORT,385,"Context: ""(CNN)  -- Not content to sit quietly at home eating their tofu cutlets, more and more vegetarians, it seems, are taking action, trying to get the carnivorous masses to change their ways. 

Of course, the meat-free have been trying to win people over to their cause since the time of Pythagoras. But lately, activists are trying more in-your-face tactics. 

For Lierre Keith, author of \""The Vegetarian Myth,\"" the \""in-your-face\"" part is quite literal. A former vegetarian who has publicly recanted, she was lecturing in San Francisco, California, last week, when three masked assailants shouted \""Go vegan!\"" and lobbed chili pepper-laced pies at her. 

Even in hard-core vegan circles -- which exclude using animal-based products for food, clothing, medicine or any other purpose -- such borderline-violent exploits are controversial. 

More common is the approach of folks like newly converted talk show host Ellen Degeneres, who has been sharing recipes for vegan nachos along with her philosophy. 

Still, recipes only go so far. And, more to the point, they don't get as much media attention. For many vegan and vegetarian activists, getting coverage is an art. 

PETA 

If you've ever read about a particularly outrageous pro-vegetarian campaign, there's a good chance that People for the Ethical Treatment of Animals was behind it. The folks at PETA seem to be firm believers in the idea that \""all media attention is good media attention,\"" and the more shocking or ridiculous the stunt, the more media outlets will pick up the story. 

PETA was laughed at when it tried to rebrand fish as \""sea kittens,\"" in hopes that the more cuddly name would make seafood a less appealing mealtime choice. It was criticized for the suggestion that recently deceased Oscar G. Mayer should be buried with his company's hot dog-shaped Wienermobile. 

After British celebrity chef Gordon Ramsay cooked up horse meat on his show, PETA UK dumped a ton of manure outside his London restaurant. 

Plenty of ecological activists cringe at these kinds of prankish maneuvers, but they do get noticed. And that, apparently, is the point. 

Why else would PETA organize an army of zombies to protest outside of KFC restaurants? 

Not content to oppose meat-eating in the real world, PETA also took a swipe at virtual carnivorousness: In response to the Nintendo DS game \""Cooking Mama,\"" the group released its own bloody version. 

And, as anyone who's seen its anti-fur posters knows, PETA is well aware that sex sells. The group got the granddaughter of Argentinean revolutionary Che Guevara to pose wearing nothing but a bandolier filled with carrots. 

Last, year PETA proposed a too-racy-for-TV \""vegetarians have better sex\"" Super Bowl commercial, guaranteeing plenty of coverage when -- surprise! -- NBC rejected the ad. 

PETA also brings its soft-core approach to the streets with its \""Lettuce Ladies\"" campaign: young models, clad in a few strategically placed leaves, handing out veggie hot dogs. 

The group has enlisted Pamela Anderson and Elizabeth Berkley to pose for the Lettuce Ladies Web site (find it yourself) -- probably the best thing that's happened to their careers in years. Is there tofu wresting? Yes, there is tofu wrestling. 

Casa Diablo 

PETA is not alone in combining feminine pulchritude and an anti-meat agenda. A couple of years back, Portland, Oregon, resident Johnny Diablo got a bunch of media attention when he opened Casa Diablo, the world's first vegan strip club. 

Serving veggie burgers with a side of nudity (or maybe the other way around) might seem to be just a publicity stunt. (The fact that Diablo tried to put the club up for sale shortly after opening would seem to suggest that.) 

But Mr. Diablo is an earnest vegan himself, and he's apparently retained ownership of Casa Diablo, though reviews -- of both the cuisine and the more fleshy attractions -- are decidedly mixed""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
