row_id,story,question,answer,summary,story_tokens,summary_tokens,answer_tokens,summ_bucket,story_bucket,task,target_words
1637,"(CNN) -- Britain's Prince Harry apologized through a spokesman Saturday after videos surfaced showing him using offensive language to describe people in his military unit. Prince Harry apologized for videos of him making offensive comments while on military duty in 2006. In one clip, a voice said to be Harry's calls a soldier a ""Paki."" In another clip, the voice tells a soldier wearing a cloth on his head that he looks ""like a raghead."" The British newspaper News of the World posted the videos on its Web site Saturday. It did not say how it obtained them. A spokesman for Prince Harry apologized in a statement released by St. James's Palace Saturday. The spokesman said the prince -- who is third in line to the British throne -- ""understands how offensive this term can be, and is extremely sorry for any offense his words might cause."" It is not the first apology for offensive behavior by Prince Harry. In 2005, he was photographed wearing a Nazi uniform to a party. He said he was sorry for that incident. ""It was a very stupid thing to do and I've learned my lesson, simple as that really,"" he said in a September 2005 interview with Britain's Press Association, marking his 21st birthday. ""I'd like to put it in the past now. What's done is done. I regret it."" The videos that surfaced Saturday were filmed by the prince himself during his military service in 2006, according to the News of the World Web site. ""Ahh, our little Paki friend... Ahmed,"" a voice says as the camera zooms in on a soldier from across the room. The video does not show Prince Harry's face. The soldiers were waiting for their flight to Cyprus for a mission, according to the Web site. The Royal family said the 'Paki' term was a nickname for a friend in his platoon. ""There is no question that Prince Harry was in any way seeking to insult his friend,"" the St. James's Palace statement said. The second video was filmed after arriving in Cyprus, according to News of the World, and shows a British soldier with a cloth over his head. A voice, which the News of the World claims to be Harry's, is heard saying, ""(expletive) me, you look like a raghead."" St. James's Palace said, ""Prince Harry used the term 'raghead' to mean Taliban or Iraqi insurgent."" Dickie Arbiter, a former press secretary to Queen Elizabeth II, Prince Harry's grandmother, urged people to take the prince's words in context. ""Harry is not the same man as he was three years ago,"" Arbiter told Britain's ITN network. ""You don't think when you are shooting a video."" And he pointed out that Harry was serving in the army, where language is not always delicate. ""It is quite common for names to be used in the military.... He's a serviceman first and foremost, but people see him as a prince first and he has to be careful of what he says."" The British Ministry of Defense said it was not aware of any complaints against Prince Harry and would investigate the allegations of inappropriate behavior, according to a written statement released Saturday. ""Bullying and racism are not endemic in the Armed Forces,"" it said. David Cameron, the leader of Britain's opposition Conservative Party, said Prince Harry's remark was ""obviously a completely unacceptable thing to say."" But he told the BBC's Andrew Marr program that he saw no need for the prince to be disciplined. ""No, he has made an apology... and I think that's enough."" --CNN's Katy Byron and Per Nyberg contributed to this report.",What were the context of the videos that surfaced of him using slurs?,offensive language to describe people in his military unit.,"Prince Harry apologizes for offensive language used while on duty three years ago .
Videos surface of him calling one soldier ""paki,"" another called ""raghead""
British Ministry of Defense plans to investigate allegations .",743,44,10,SHORT,L_STORY,SUMM_SHORT,32.0
1561,"(CNN) -- Back in 2005, when he stopped studying third down tendencies long enough to work on a motivational self-help book, Nick Saban kept hammering on one phrase. 

The book's title was ""How Good Do You Want to Be? A Champion's Tips on How to Lead and Succeed at Work and in Life."" 

The phrase the University of Alabama's football coach was stuck on was mercifully shorter. 

""Eliminate the clutter."" 

The clutter is you. The clutter is me. The clutter is this story, another horn in the vast media brass section trumpeting a college football game taking on Homeric proportions. 

""It's everything out there that can take away from your focus,"" said Saban's co-writer, Brian Curtis. 

This week Saban -- called ""the most powerful coach in sports"" by Forbes magazine in 2008 -- is up to his furrowed brow in clutter. His No. 2 Crimson Tide plays No. 1 Louisiana State Saturday night in Tuscaloosa, Alabama, in the most anticipated college football game in years. Both teams are undefeated, and it's the first ever SEC regular season game matching the country's two top teams. 

SI.com: LSU vs. Alabama really does mean everything to some, and that's OK 

Saban, who just turned 60, is not exactly a willing contributor to the ruckus that surrounds big-time college football. 

When his own players doused him with the traditional Gatorade victory shower after Alabama won the BCS Championship Game in January, 2010, he looked genuinely irked by the display. 

Saban's no-nonsense nature -- he and a statue of him outside Alabama's football stadium are tied for number of memorable one-liners -- perfectly equips him for a moment like Saturday night. 

""It's fun to play in games like this,"" Saban said this week. And then he broke out the wet blanket. ""But I also think it's important to be able to stay focused on what you need to do to play well. You can't drain yourself emotionally because of all the things that are happening surrounding the game."" 

SI.com: Alabama hosts LSU in the Game of the Year 

The Saban method certainly has paid off. His overall college coaching record is 137-53-1, a .717 winning percentage. He has won as many national titles (two) as all-time major college wins leader Joe Paterno. But Saban is the only coach to win a BCS championship with two different programs. 

It is a testament to both Saban's coaching genius and his tumbleweed past that his DNA is on both programs involved in Saturday's showdown. Here's how he got there: 

The son of a West Virginia gas station owner, he began coaching as a grad assistant at alma mater Kent State in 1973. Over a lengthy career, he has been employed by nine different college programs, and three more NFL franchises. 

Following four years as head coach at Michigan State, Saban was brought to Baton Rouge in 2000 after LSU had gone 7-15 the previous two seasons. 

Within four years, Saban delivered a national title. 

His professional travelogue didn't end there. Saban left to test himself as an NFL head coach with the Miami Dolphins in 2005. Two seasons there produced a 15-17 record, and then Saban was seduced by a once proud southern belle who had fallen into disrepute. 

""I'm not going to be the Alabama coach,"" Saban infamously declared on December 21, 2006. 

On January 4, 2007, he was introduced as the Crimson Tide's next coach. 

He was apologizing for that one three years later in a Sporting News interview. Sort of. ""I apologize for any professional mishandling that might have occurred,"" he said. 

But there is a reason Alabama ponied up $4 million a year for Saban (university President Robert Witt makes a reported base of $490,000 a year). He is one rainmaker of a coach. 

While perhaps not always so dedicated to the truth about his comings and goings,",What has Saban done?,stopped studying third down tendencies,"No. 1 LSU faces No. 2 Alabama Saturday in college football game of the year .
Alabama coach Nick Saban has coached both teams to national championsips .
Saban has angered some with his ugly departures from previous coaching jobs .
Saban is only coach to take two different schools to college football's BCS championship .",889,66,6,LONG,L_STORY,QA,
3211,"(CNN) -- President Obama's foreign policy agenda may have ""run out of steam"" and he must now take risks and provide effective leadership, former U.S. National Security Adviser Zbigniew Brzezinski said Friday. 

In an interview with CNN's Christiane Amanpour, Brzezinski said Obama's foreign policy agenda is suffering from gridlock in Washington. 

""I have the feeling that because of domestic problems, he has run out of steam, and I don't know really how determined he is to resume what he started doing so well, which is to engage the world constructively,"" Brzezinski said. 

Brzezinski, who is now at the Center for Strategic and International Studies in Washington, said the only way to break the stalemate is for Obama to take the lead. 

The president can show leadership, he said, by ""persuasively going to the country directly, mobilizing the support, taking on some difficult foreign challenge, and prevailing."" 

Brzezinski cited Iran as an example of key challenges Obama ought to tackle. 

Obama should not ""abandon it prematurely,"" he said, noting the complexities of the internal Iranian situation could give the United States ""room for maneuver, and perhaps some basis for expecting an eventual partial accommodation."" 

Brzezinski also cited the Israeli-Palestinian conflict as a key challenge because it ""revolutionizes, radicalizes the Middle East, and maximizes the number of enemies the United States has."" 

Asked how he would grade the Obama administration's performance on Iran and the Middle East, he said, ""Well, rhetorically, A; in terms of performance, B, B-minus."" 

Despite the United States' foreign policy problems, Brzezinski said, the nation has the resources to deal with new global security threats in cyberspace, outer space and on the high seas. 

Brzezinski also commented on the newly published 2010 Quadrennial Defense Review, a legislatively mandated review of the U.S. Department of Defense strategy and priorities. 

The review is meant ""to assess the threats and challenges that the nation faces,"" and to ""rebalance the department's strategies, capabilities and forces to address today's conflicts and tomorrow's threats,"" according to the Department of Defense. 

Brzezinski warned even though the United States has highly sophisticated technology, it also has to be effective in global diplomacy, adding, ""We have neglected that in the course of the last decade."" 

""I think we have to redefine the nature of the enemy,"" Brzezinski said, ""the global security context in which we find ourselves is now fundamentally different."" 

Brzezinski, national security adviser during the Carter administration between 1977 and 1981, noted how the new threats differ from those of the Cold War. 

""When I was in the White House, the threat was concentrated and very lethal,"" he said. ""You know, the Soviet Union, in case of a central war with the United States, could kill roughly 80 million Americans in six hours."" 

Today, Brzezinski said, the United States has ""a lot of threats, ranging from terrorists to rogue states to unpredictable events. And that makes the defense issue more complex, even though it is somewhat rather less lethal."" 

He cited the example of cyberattacks. 

""Are these hackers, for example, from China working for the Chinese government or are they working for some private business? What are their motives?"" 

He said it is vital for the United States to have the capability not only to stop hacking, but to retaliate as well.",what can stop stalemate,is for Obama to take the lead.,"President can stop stalemate by taking risks, showing leadership, Zbigniew Brzezinski says .
Brzezinski cites Iran, Israeli-Palestinian conflict as key challenges Obama should tackle .
On Iran, Middle East, Brzezinski gives administration ""rhetorically, A... performance, B, B-minus""
Compared to Cold War era, U.S. faces broader range of threats, he says .",766,86,8,LONG,L_STORY,SUMM_LONG,45.0
9959,"WASHINGTON (CNN) -- The Supreme Court has given a girl's parents the go-ahead to sue a Massachusetts school district over alleged sexual harassment by another student.

A U.S. Supreme Court ruling allows a couple two avenues to pursue claims against their daughter's school district.

The justices, in a unanimous ruling, allowed the plaintiffs two avenues to make their claims -- a 1972 law banning gender bias in education and a separate civil rights law enacted 138 years ago.

Lisa and Robert Fitzgerald said their then-kindergartner daughter was forced by an older male student to lift her skirt or pull down her underwear. The parents alleged school officials ignored their concerns and refused to discipline the boy.

Federal courts had been split over whether the newer law -- known as Title IX -- displaced any claims made under part of the 1871 civil rights law, called ""Section 1983."" The Fitzgeralds lost their initial Title IX claims and an appeals court blocked them from pursuing the other legal strategy.

The ruling from the justices now gives the Fitzgeralds the right to continue their lawsuit against school officials.

""We hold that Section 1983 suits based on the Equal Protection Clause remain available to plaintiffs alleging unconstitutional gender discrimination in schools,"" Justice Samuel Alito wrote.

The plaintiffs allege the incidents happened on a school bus in Barnstable, Massachusetts, in the 2000-01 academic year. The child had told her parents that whenever she wore a dress, a third-grader would make her do things she did not want to do.

After the mother complained to school officials, the boy denied the allegations. The principal, after interviewing other students and the bus driver, concluded she could not corroborate the girl's version of events.

The principal suggested the girl be transferred to another bus as a possible solution. The Fitzgeralds said that amounted to punishing their daughter and said the boy was the one who should be transferred.

The local police department also looked into the case but concluded there was insufficient evidence to bring criminal charges against the boy.

The parents began driving the girl to school and filed a lawsuit, claiming the schools system's response was inadequate.

School officials denied wrongdoing and tried to limit the case to Title IX, which applies to public or private schools receiving federal aid. The law is credited, among other things, with helping bring equality in sports participation and funding for college women.

""Our concern was that the school district just didn't take things as seriously as they should,"" said Charles Rothfeld, attorney for the Fitzgeralds. ""They were frustrated by what they perceived as indifference by the school.""

Rothfeld said the school's behavior was ""pretty egregious.""

Barnstable school officials did not respond to a request for comment.

The case is Fitzgerald v. Barnstable School Cmte. (07-1125).",What school district is this?,Massachusetts,"Parents allege older boy sexually harassed daughter on school bus .
Parents: School district ignored our concerns, refused to discipline the boy .
U.S. Supreme Court: Parents can sue school district .",587,40,2,SHORT,S_STORY,SUMM_SHORT,32.0
1376,"(CNN) -- An outspoken Saudi human rights advocate who was imprisoned without charge for nearly eight months was freed this weekend, according to a fellow human rights activist.

Matrook al-Faleh, shown in 2004, was seized after he criticized prison conditions, says Human Rights Watch.

Matrook al-Faleh ""is doing very well"" after leaving Al-Hayer maximum security prison near Riyadh, Saudi Arabia, late Saturday, said colleague Mohammed al-Qahtani, who visited al-Faleh on Sunday.

""He is very healthy and his morale is quite high -- surprisingly after eight months,"" said al-Qahtani.

Both men are Saudi college professors.

It's unclear why al-Faleh was arrested. A Human Rights Watch report condemning the arrest and urging al-Faleh's release said his detention came two days after he publicly criticized conditions in a prison where two other Saudi human rights activists are imprisoned.

It was also unclear why he was held for so long. According to al-Qahtani, Saudi law mandates that no one can be held for more than six months without charge.

""The criminal code says you charge him or release him, but sometimes they do not respect the law they issued,"" al-Qahtani said.

An official at the Saudi Interior Ministry said he had no details about al-Faleh's case.

Jamila al-Uqla, al-Faleh's wife, spoke to CNN in May, shortly after her husband was detained.

She described how her husband had been arrested without charge and interrogated repeatedly. Al-Faleh had decided to go on a hunger strike to demand that he be told why he was being held, she said.

His wife stressed that she and al-Faleh are patriotic Saudis. ""My husband is transparent and doesn't hide anything,"" said al-Uqla. ""He says whatever he sees. He has loyalty to his country and the interests of his country.""

It was not Al-Faleh's first brush with the Saudi legal system. Al-Faleh, Abdullah al-Hamid and Ali al-Dumaini, who runs a Saudi discussion Web site, were arrested in 2004 for circulating a petition meant for then-Crown Prince Abdullah which called for a constitution guaranteeing basic human rights.

A court sentenced al-Faleh, Abdullah al-Hamid and Ali al-Dumaini, to six, seven and nine years respectively. But King Abdullah pardoned them in August 2005, Human Rights Watch said.",Where was the prison situated?,"near Riyadh, Saudi Arabia,","Saudi professor Matrook al-Faleh imprisoned for eight months without charge .
He was released from a prison near Riyadh late Saturday, fellow activist says .
Rights group: Al-Faleh's detention came after he criticized prison conditions .",553,52,6,SHORT,S_STORY,SUMM_SHORT,32.0
8305,"NEW YORK (CNN)  -- Nearly 27 years ago, amid a crowd of people in Central Park, Ruth Bendik's wallet was stolen. The culprit is still at large, but the wallet has been found -- in the hollow trunk of a cherry tree. Nearly 27 years ago, amid a crowd of people in Central Park, Ruth Bendik's wallet was stolen. The wallet was snatched on October 24, 1982, while Bendik, now 69, was in Central Park watching the New York marathon. She went to greet runners at the end of the race and, ""when I got out of the crush of people, I realized my purse was much lighter,"" Bendik told CNN. ""I was just so grateful not to have been harmed."" Last week, Josh Galiley, tree-care supervisor for the Central Park Conservancy, was chopping down a hazardous black cherry tree near Rumsey Playfield when he discovered her blue leather wallet in the trunk of the tree, which he estimates is around 65 years old and 50 feet high. ""I started poking in the soft stuff and this wallet turned up. Having been that low in the tree ... the location indicated it had been there for quite some time,"" Galiley told CNN. The old wallet was a unique find, he said. ""When you're cutting a tree and it's hollow, you expect stuff inside, shreds of material, old marbles, really just knickknacks compared to this,"" he said, ""Nothing with a story. ... We peeked in and there were dates from the early '80s. We figured this was different."" After the wallet was recovered, Galiley said, officials were careful to inform Bendik properly. ""We thought she may not want to relive it,"" he said. Bendik sang praises for the individuals who returned her wallet, including detective Frank Irizarry, who helped track her down. ""The lengths they went to find me, the extent that they went through and the fact that they were concerned about my feelings really impressed me,"" she said. The wallet still contained her old driver's license and credit cards, she said, although $20 was missing. ""Twenty dollars was a lot of money then,"" she said. After two decades, much more has changed. Referring to two of her old bank cards from Manufacturers Hanover Trust Bank and Banker's Trust, Bendik said, ""I was shocked that both banks had closed."" But some things haven't changed. Bendik continues to have fond memories of Central Park. The Ohio native, who has lived in New York for 40 years, still describes the park as one of her favorite areas in the city. ""It's a public place in an impersonal city,"" she said, ""It brings everyone together in a pleasant way of reconnecting with nature and beauty."" Today, Bendik smiles at the idea of her wallet buried in a cherry tree in Central Park for nearly 30 years, and she's happy to have it in her hands again. ""After all these years it's still available as a time capsule of my life.""",Who found the wallet?,"Josh Galiley,","Ruth Bendik's wallet was snatched in 1982 during the New York marathon .
Worker found wallet while chopping down a black cherry tree in Central Park .
Wallet still contained driver's license and credit cards, but $20 was missing .",627,49,4,SHORT,S_STORY,QA,
8604,"New York (CNN) -- Investigators suspect arson in a fire that killed five Guatemalan immigrants in Brooklyn, they said Monday. ""People are all concerned and very sad,"" said Maria Luz de Zyriek, the Guatemalan consul in New York. ""This is a horrible tragedy."" Authorities continue to investigate and have not formally determined a cause, the Fire Department of New York said. The blaze damaged a restaurant and apartments in a three-story building in the Bensonhurst neighborhood, Frank Dwyer, a fire department spokesman, has said. Luisa Chan, a mother of two, died in the blaze, said Mario Alvarado, a member of Jovenes Cristianos -- Christian Youth, a church with about 200 members, most of them Guatemalan immigrants, on 17th Avenue in Brooklyn. Chan usually attended services on Tuesday, Wednesday, Saturday and Sunday, Alvarado said. The congregation mourned her on Sunday. ""The service was so quiet,"" he said. Are you there? Share your story Investigators have not publicly identified the victims, but the Guatemalan consul said they were all from the western part of the country. Two were from the state of Totonicapan and three were from the state of Quetzaltenango, she said. After the fire broke out, Chan managed to get her 2-year-old son to safety, apparently by handing him to someone on the floor below, and threw her 2-month-old daughter toward a passerby, said Alvarado, who said he received that account from someone close to the family. ""Thank God they're safe,"" he said. A 2-month-old baby was in critical condition, fire officials said, but the child was not immediately identified; three other people sustained injuries ranging from serious to minor. Thirteen firefighters sustained minor injuries. The fire started about 2:30 a.m. Saturday behind a door in one of the apartment units, Dwyer said. ""If somebody starts a fire there intentionally, that would certainly be looking to kill somebody, because there's no way for them to get out,"" Fire Commissioner Salvatore Cassano said. At Chan's church, members in mourning were waiting Monday for more information from authorities, Alvarado said. They also were getting ready for a memorial service and trying to comfort Chan's husband, who survived the fire, the consul said. ""The husband and wife belonged to that church. Everybody there knew them,"" said Luz, who went to the church during the weekend. ""Everybody there was so sad. Everybody was crying and praying for the husband,"" she said. ""He's going to have to raise those two little kids now by himself."" CNN's Miguel Susana contributed to this report.",What was said about the arson?,"""This is a horrible tragedy.""","NEW: Victims are Guatemalan immigrants, friends say .
Arson suspected in early Saturday fire, authorities say .
Thirteen firefighters, four residents injured .
Roof of three-story building partially collapsed .",559,43,7,SHORT,S_STORY,SUMM_SHORT,32.0
10348,"Washington (CNN) -- Washington police were investigating on Sunday whether an off-duty officer drew his gun in the midst of a snowball fight involving a couple hundred people. The Metropolitan Police Department said video from a local media outlet at the scene Saturday did not show the officer with his weapon drawn. However, authorities have since received ""additional images and statements that would seem to support the allegation that the off-duty member did pull a gun,"" a police statement said. About 200 people from a D.C. neighborhood had gathered Saturday to brave a snowstorm for a massive snowball fight, CNN affiliate WJLA reported. ""It was pretty fun,"" one unidentified participant told WJLA. ""And then, you know, when the gun came out, uh, it just changed the tone of the thing a little bit."" The off-duty, plainclothes officer was driving in the area of the snowball fight when several snowballs hit his vehicle, police said. The officer exited the vehicle and yelled at the crowd, WJLA reported; witnesses accused that officer of drawing his gun. A uniformed police officer who subsequently arrived was holding a gun at his hip, but he eventually returned it to his holster, video from WJLA shows. MPD Assistant Chief Peter Newsham said the uniformed officer was responding to a  911 call that someone -- apparently the plainclothes officer -- had a gun, according to WJLA. The uniformed officer holstered his weapon when he recognized the plainclothes officer, Newsham said, according to WJLA. The police statement said ""there is no evidence that [officers] pointed any weapons in the direction of the crowd or at any individuals.""",Who was accused of drawing a gun?,an off-duty officer,"Plainclothes police officer accused of drawing gun at snowball fight in Washington, D.C.
""Images and statements ... would seem to support the allegation,"" police say .
About 200 people were in snowball fight when officer's vehicle was hit, police say .
Police: Separate, uniformed officer held a gun while checking report of armed person .",348,73,5,LONG,S_STORY,SUMM_LONG,45.0
1768,"(CNN) -- Conservationists have found a new population of orangutans in a steep, mountainous corner of Indonesia -- a discovery that significantly adds to the number of the endangered red-haired primates.

The orangutans were discovered in a mountainous corner of Indonesia.

About 65,000 orangutans are thought to remain in the wild, limited to rain forests on two islands in Malaysia and Indonesia: Borneo and Sumatra.

The latest population was found in the eastern edge of Borneo, with conservationists counting 219 nests. Even by conservative estimates, that raises the total number of the orangutan population by at least a couple of hundred, maybe thousands.

""We rarely have something positive to report in the conservation world. Most of the stories are about declining population or animals dying. It's all pretty negative,"" said Erik Meijaard, a senior ecologist with the U.S.-based Nature Conservancy.

""So to find a substantial population of potentially several hundred to several thousand animals is very exciting.""

Locals in the area had long spoken of an orangutan population in the hard-to-access limestone mountains of the Kalimantan province. A group of conservationists reached the area in December after driving for a day, taking a boat for another, and then hiking across steep mountainous terrain for two, Meijaard said.

The remoteness of the area has meant that the animals have been undisturbed by development. Elsewhere, the orangutan's forest habitat has been cut down for timber extraction and palm oil, used in food and cosmetics.

Orangutans, a species of great apes, with hair that is usually reddish-brown instead of the black or brown. The name is derived from the Malay and Indonesian words for ""orang"" (person) and ""hutan"" (forest). They spend most of their time on trees, subsisting on fruit and leading a solitary existence except to mate.

The expedition in December found the nests crammed into just a few miles in the 2 million-acre forest.

""The immediate steps include going back to the area to see how far the population ranges and to put better protection in place,"" Meijaard said.",What was found in Indonesia?,new population of orangutans,"Conservationists have found a new population of orangutans in Indonesia .
Discovery significantly adds to number of the endangered red-haired primates .
Latest population was found in the eastern edge of Borneo .",471,45,7,SHORT,S_STORY,SUMM_SHORT,32.0
4969,"(Tribune Media Services) -- Fantastique France continues to make its heritage and culture easier for travelers to appreciate. Being up-to-date on changes for 2009 will help your visit go smoothly. The Eiffel Tower is planning to offer online reservations, allowing visitors to book an entry time and avoid a long wait. Due to a smoking ban, you'll enjoy fresh air in bars, cafes and restaurants throughout France. The smokers have scurried outdoors to sidewalk tables; many of those seats now come with space heaters in winter. If you're traveling in France by railpass, it's increasingly important to book trips on the TGV bullet trains in advance, as there's a strict limit on the number of seats allowed for railpass holders. And with high gas prices -- and the recognition among Europeans that rail travel is about as green as you can go -- trains are more crowded than ever. In Paris, the transit system has introduced a chip-card called the Passe Navigo Decouverte, but for most tourists, the ""carnets"" (packs of 10 individual tickets) are still the better deal. The new Passe costs about $27, runs strictly from Monday through Sunday, and requires a photo, which means it's not shareable. In contrast, a 10-ticket pack costs about $14, is shareable, and has no expiration date. Paris' Notre-Dame Cathedral has a new modest-dress rule. The ""no shorts"" code is not strictly enforced, but inside you're expected to be quiet and respectful. A new online reservation system for the Eiffel Tower may debut in 2009, allowing Tour-Eiffel-ists to book a half-hour time slot and avoid the notorious lines. At the Army Museum nearby, the section on 19th-century French military history (""Revolution to Napoleon III"") should reopen in the spring. The museum also has a new Charles de Gaulle wing, offering a 25-minute film, plus a high-tech display of photos tracing the life of France's towering 20th-century figure. Paris' market streets delight many visitors. While rue Cler (near the Eiffel Tower) has become quite touristy, rue des Martyrs (at the foot of Montmartre) is edgier and a great way to connect with workaday Paris. If you'd like to ""do the Time Warp again"" while ducking airborne ""French"" toast, you can enjoy the cult movie ""Rocky Horror Picture Show"" with a Parisian crowd Friday and Saturday nights in the Latin Quarter (www.rocky.fr). Travel Snapshots: Paris The Palace of Versailles is undergoing extensive renovation so expect some closures. Repair projects may close its Opera House through June; the Petit Trianon may be closed or only partially open. Busy sightseers can save both time and money by visiting Versailles with the Paris Museum Pass. The pass covers most major sights in and around Paris, pays for itself in about three entries, and allows you to walk right by the long ticket-buying lines at places like the Louvre, the Orsay Museum, the Sainte-Chapelle chapel, and Versailles (www.parismuseumpass.com). However, everyone needs to wait through any bag-check security line. The charming city of Reims, rebuilt after World War I when Art Deco was the prevailing style, is now served by a speedy TGV train, making it an easy day trip from Paris. Reims is known for its champagne tours (Mumm, Taittinger and Martel), giant cathedral (with Chagall stained glass), and fascinating Museum of the Surrender (General Eisenhower's final World War II headquarters with stirring artifacts and the document of surrender that was signed by German generals right there). This year is the 65th anniversary of the D-Day landings in Normandy; prepare for big crowds -- especially from June 1 to 10. Also in Normandy, a museum has opened at Dead Man's Corner, a critical crossroads between Omaha and Utah beaches that saw five torrid days of fighting in 1944. This museum, south of Ste. Mere-Eglise, is a hit with enthusiasts as every display case shows incredible attention to detail. It also",What countries do the tours include?,France,"Rick Steves writes European travel guidebooks and hosts travel shows .
His TV series, ""Rick Steves' Europe,"" airs on PBS stations .
Steves' company, Europe Through the Back Door, conducts European tours .",880,46,1,SHORT,L_STORY,SUMM_SHORT,32.0
