row_id,task,story_bucket,summ_bucket,story_tokens,summary_tokens,answer_tokens,story,question,answer,summary,target_words
2321,SUMM_LONG,L_STORY,LONG,794,68,1,"(CNN) -- Historical tensions and overreaction on the part of both Russia and Georgia contributed to a five-day conflict between the two in 2008, a European Union fact-finding mission concluded in a report released Wednesday. South Ossetian mourners at the grave of a relative killed in the conflict on the first anniversary in August 2009. ""The conflict is rooted in a profusion of causes comprising different layers in time and actions combined,"" said the report from the Independent International Fact-Finding Mission on the Conflict in Georgia. ""While it is possible to identify the authorship of some important events and decisions marking its course, there is no way to assign overall responsibility for the conflict to one side alone. They have all failed, and it should be their responsibility to make good for it."" Georgia launched a campaign against South Ossetia, a Russian-backed separatist Georgian territory, on August 7, 2008. The following day, Russian tanks, troops and armored vehicles poured into South Ossetia and another Russian-backed breakaway Georgian territory, Abkhazia, advancing into Georgian cities outside the rebel regions. A total of about 850 people were killed on all sides, the report said, and untold numbers of others were wounded or went missing. About 100,000 civilians fled their homes, and about 35,000 have been unable to return. ""The fighting did not end the political conflict, nor were any of the issues that lay beneath it resolved,"" the report said. ""Tensions still continue. The political situation after the end of fighting turned out to be no easier and in some respects even more difficult than before."" Russia and Georgia each blamed the other for starting the conflict, and accused each other of a variety of offenses leading up to and during the fighting, including ethnic cleansing. Moscow has since recognized South Ossetia and Abkhazia as independent regions. But relations between Georgia and Russia are at an ""all-time low,"" the report notes. After five days of fighting, a peace deal was brokered by French President Nicolas Sarkozy, acting on behalf of the EU. An implementation effort followed on September 8. The report noted that the actions ""stood in contrast to the failure of the international community, including the U.N. Security Council, to act swiftly and resolutely enough in order to control the ever-mounting tensions prior (to) the outbreak of armed conflict."" Georgian armed forces shelled the South Ossetian capital of Tskhinvali the night of August 7. While that action was seen as the start of the armed conflict, ""it was only the culminating point of a long period of increasing tensions, provocations and incidents,"" the fact-finding report said. ""Indeed, the conflict has deep roots in the history of the region, in peoples' national traditions and aspirations as well as in age-old perceptions or rather misperceptions of each other, which were never mended and sometimes exploited."" Any evaluation of the conflict should take that into account, along with mounting tensions in the months and weeks leading up to it, the report said, as well as ""years of provocations, mutual accusations, military and political threats and acts of violence both inside and outside the conflict zone. ""It has to consider, too, the impact of a great power's coercive politics and diplomacy against a small and insubordinate neighbor, together with the small neighbour's penchant for overplaying its hand and acting in the heat of the moment without careful consideration of the final outcome, not to mention its fear that it might permanently lose important parts of its territory through creeping annexation,"" the report said. The fact-finding mission was established in December by the EU to investigate the conflict. It was headed by Heidi Tagliavini, a former United Nations special representative for Georgia. The EU said in a statement it welcomed the report and hopes its findings can contribute to future international efforts at ""preventive diplomacy.""",Who is responsible for the conflict?,Russia,"Report: A total of about 850 people were killed on all sides in five-day conflict .
About 100,000 civilians fled their homes, about 35,000 unable to return .
Report: ""No way to assign overall responsibility for the conflict to one side alone""
Russia and Georgia each blamed the other for starting the conflict .",45
760,SUMM_LONG,S_STORY,LONG,378,74,1,"(CNN) -- A Massachusetts grand jury has indicted a 98-year-old woman, accused of strangling her 100-year-old nursing-home roommate, on a second-degree murder charge. 

Prosecutors say Laura Lundquist killed centenarian Elizabeth Barrow, a resident of Brandon Woods Nursing Home in Dartmouth, after the two women had an argument over a table Lundquist had placed at the foot of Barrow's bed. 

Barrow was found dead September 24 with a plastic shopping bag tied loosely around her head, according the Bristol County district attorney's office. An autopsy indicated Barrow had been strangled. 

Barrow complained that the table obstructed her path to the bathroom, authorities said. When a nurse's aide moved it, Lundquist punched the aide and grumbled that her roommate ""might as well have the whole room,"" prosecutors said. 

District Attorney C. Samuel Sutter said Barrow repeatedly complained that Lundquist was making her life ""a living hell"" in the weeks leading up to the woman's death, and that Lundquist remarked that she would outlive her roommate. 

A nursing home spokesman said the facility twice presented Barrow with the chance to change either rooms or roommates, but she declined each time. He compared the pair to ""sisters,"" saying they took ""daily walks together ... ate lunch together every day, and were heard at night saying, 'Good night, I love you,' to each other."" 

Lundquist's attorney, Carl Levin, contends his client was not involved in Barrow's death, saying, ""We maintain her innocence."" 

A superior court judge granted a motion to send Lundquist to a state hospital for a competency evaluation. An arraignment will be held only if Lundquist is found competent to stand trial.",What was placed at the foot of Barrow's bed that caused an argument,table,"Prosecutors say Laura Lundquist, 98, strangled Elizabeth Barrow, 100 .
The two allegedly argued about a table Lundquist had placed at the foot of Barrow's bed .
Nursing home spokesman: Barrow declined offers to change rooms or roommates .
Spokesman: The two women were like ""sisters,"" took daily walks together .",45
8671,SUMM_LONG,L_STORY,LONG,879,70,16,"OAKLAND, California (CNN) -- Fifth-grader Christopher Rodriguez sat down Thursday at his piano for his weekly lesson, arched his fingers over the keys and began to play. 

10-year-old Christopher Rodriguez was hit by a stray bullet, paralyzing him for life, doctors say. 

Across the street from Harmony Road Music School in north Oakland, California, Jared Adams, 24, allegedly raised his gun at a Chevron gas station attendant during a holdup and fired. 

A bullet ripped through the walls of Christopher's classroom striking him in his side, piercing his kidney and spleen and lodging in his spine. The bullet barely missed the 10-year-old's heart. 

He will likely be paralyzed for life from the waist down, doctors say. 

""This is probably the worst thing that's ever happened to me in my life. I love my son greatly,"" the boy's father, Richard Rodriguez, said Friday at a news conference.  Watch Christopher's dad describe the ordeal » 

Christopher loved music. He had recently taken up African drumming, spent hours listening to classical music and played basketball. 

""I feel like half his life was taken from him; his inability, probably, to walk -- ever,"" Rodriguez said, his voice breaking. 

Christopher's mother, Jennifer Rodriguez, had been waiting outside in her SUV for her son's lesson to end. 

She not only heard the shots but came close to being hit herself. At least two bullets from Adams' gun struck her vehicle, police said. 

On the phone and distracted, she at first dismissed the noises as someone throwing rocks at her SUV. But when she realized it was gunfire, she dashed into her son's class. Christopher was on the floor, his classmates and instructor hovering over him. 

""I can't feel my legs! I can't feel my legs!"" Christopher cried. 

As emergency workers rushed the boy to the hospital, police were chasing Adams, who was speeding away. Adams rammed his vehicle into a car carrying a woman and her two children and then slammed into a parked car, police said. 

The woman and children escaped without injury, according to authorities. 

Adams was charged Monday with attempted murder, robbery, evading a police officer, driving recklessly and being an ex-felon in possession of a firearm, Oakland Police Department spokesman Roland Holmgren told CNN. 

He's being held without bail, according to Holmgren. CNN was not immediately able to determine whether he had a lawyer. 

Authorities found a ski mask, loaded gun and cash at the scene. Adams has prior convictions for driving under the influence and gun possession, records show. He pleaded no contest to felony evading arrest in 2006 for fleeing an Emeryville police officer and had run from or physically resisted a California Highway Patrol officer and police in Albany and Berkeley, the San Francisco Chronicle reported. 

Adams once complained in court that young people raised in the city like himself never got opportunities, the paper also reported. 

Adams has been told about Christopher, said Holmgren. 

""It doesn't matter whether it's your first day on the street as an officer or a veteran, to see a child doing something as innocent as taking a piano lesson and have this happen to him, it affects your soul,"" said Holmgren. 

Meanwhile, doctors delivered tragic news about Christopher's future. 

""He's going to face years of rehabilitation,"" said Dr. James Betts, chief of surgery at Children's Hospital Oakland. ""We are all hoping there will be some degree of recovery. We feel like the injury is permanent, and the paralysis is permanent. 

""[It will be] a challenging life for this young boy."" 

Christopher's friends and fellow music lovers plan to help him. 

Harmony Road Music School will hold a benefit concert for the Rodriguez family February 10 at 2 p.m. at Chapel of the Chimes, a place of worship near the school. 

""The family is going to have to, essentially, make a home for a disabled child",What was the suspect allegedly doing?,raised his gun at a Chevron gas station attendant during a holdup and fired.,"Christopher Rodriguez, 10, was hit by a bullet during his piano lesson last week .
Police: Suspect allegedly robbing a gas station near music school .
The boy, who loves classical music, will likely be paralyzed for life, his doctors say .
Rodriguez's father: ""I feel like half his life was taken from him""",45
7828,SUMM_LONG,L_STORY,LONG,915,69,3,"Los Angeles (CNN) -- The mother of a German national suspected of one of the worst arson sprees in Los Angeles history appeared before a U.S. magistrate judge Tuesday in the German government's effort to extradite her on fraud charges. 

Harry Burkhart, 24, may have been motivated to set the fires by his mother's arrest, according to officials and CNN affiliates. 

His mother, 53-year-old Dorothee Burkhart, was arrested by Los Angeles police during a traffic stop on December 28, a day before the first of 52 fires, mostly in parked cars, that investigators suspect were part of a series of arsons. 

The son, who was arrested Monday, was charged with one count of arson of an inhabited dwelling. He is likely to face additional charges as the investigation moves forward, said Los Angeles Mayor Antonio Villaraigosa. Harry Burkhart remains jailed without bail and is scheduled to appear in court Wednesday. 

""What did you do to my son,"" Dorothee Burkhart, yelled at the judge during her hearing Tuesday. ""My son is disappeared since yesterday. Perhaps the German Nazis know of our address."" 

It did not appear that she knew her son had been arrested a day earlier on the arson charge. 

She turned down an offer of a court-appointed lawyer and was given until her next hearing Friday to hire a defense attorney. 

A federal extradition complaint said she is wanted in Germany on 19 counts of fraud, including an allegation that she defrauded the doctor who performed breast augmentation surgery on her in 2004. The other fraud charges center on rent and security deposits for apartments in Frankfurt, Germany, the complaint said. 

A website advertising ""sensual tantra massage"" and offering ""full body hot oil body to body sliding massage"" is registered to Dorothee Burkhart using a Hollywood address, according to a domain registry database. She lived with her son in a Hollywood apartment, according to the complaint. 

Investigators seized press clippings of arson attacks in Germany from the apartment, according to a law enforcement official who spoke on the condition of anonymity. 

Dorothee Burkhart last entered the United States lawfully in January 2007 and left the country four months later, according to U.S. Immigration and Customs Enforcement. She currently has no lawful immigration status and ICE has lodged an immigration detainer against her, it said. 

A court document released earlier on Tuesday incorrectly stated that Dorothee Burkhart had most recently entered the United States in October, according to ICE. 

Harry Burkhart was in the United States lawfully at the time of his arrest on a non-immigrant visa, which expires on January 18, ICE said. The agency has similarly lodged an immigration detainer against him. 

Arson investigators counted 52 fires, most starting in parked cars, since Friday morning, but none since the suspect was detained at 3 a.m. Monday, according to officials. 

No one was hurt in the fires, but property damage is likely to reach $3 million, said Los Angeles Fire Chief Brian Cummings. 

U.S. State Department spokeswoman Victoria Nuland said Tuesday that after Los Angeles police released a surveillance video of a man seen near the scene of one fire, agents in the department's Bureau of Diplomatic Security field office recognized Burkhart. 

Multiple CNN affiliates reported the alleged arson spree could have stemmed from a deportation battle between the suspect and immigration officials involving Burkhart's mother. 

After his arrest, Burkhart told investigators, ""I hate America,"" according to CNN affiliate KABC. 

Los Angeles Police Chief Charlie Beck said officials believe -- and hope -- the fires were set by one person. But they will proceed as though others may be involved until they know for sure, Beck said. 

""I feel very good that we've got the right guy. (The suspect) had the right stuff in his van, and we are confident in the arrest,"" Beck said. 

Neighbor Galina Larimoda told KABC-TV through a Russian translator that Harry Burkhart knocked on her door Sunday and seemed angry and not ""completely normal."" 

Los Angeles County Reserve Sheriff's Deputy Shervin Lalezary, who draws a salary of $1 a year",who arrests her during a traffic stop?,Los Angeles police,"NEW: Harry Burkhart's mother has no lawful immigration status, ICE says .
Dorothee Burkhart is wanted in Germany on 19 fraud counts .
LAPD arrests her during a traffic stop on an extradition warrant a day before the first Hollywood fires .
52 fires cause $3 million damage in the Los Angeles area .",45
2231,SUMM_LONG,S_STORY,LONG,664,72,3,"(CNN) -- Ghana international Michael Essien has followed goalkeeper Petr Cech in agreeing a new five-year contract with English Premier League side Chelsea.

Michael Essien has made a big impression on new Chelsea coach Luiz Felipe Scolari.

The midfielder, who is in China for the start of the club's pre-season tour, is now tied to the London outfit until the summer of 2013.

The 25-year-old has made 143 appearances since moving to Stamford Bridge from French club Lyon in a $49 million transfer in August 2005, scoring 14 goals in total and helping Chelsea win the league title that season.

Essien's decision to commit his long-term future to the club is a boost for new manager Luiz Felipe Scolari, who allowed veteran holding midfielder Claude Makelele to join Paris St Germain on Monday.

""I have not been here long but it is clear to me that Michael Essien is one of the best midfield players in the world,"" Scolari said. ""I have always admired him and it is good news for me and for Chelsea that he signs for so long.""

The Accra-born Essien, who started his career in France with Bastia in 2000 before moving to Lyon three years later, was also pleased with the deal.

""I am really pleased to have extended my career with Chelsea,"" he said. ""I am very happy here. We have a great team and fantastic fans who have always made me welcome.

""With the addition of the new manager, I am feeling very positive about the season ahead.""

Chelsea announced on Monday that Czech Republic goalkeeper Cech signed a new five-year deal, while England full-back Wayne Bridge committed himself to four more years last week.

Scolari is still seeking to keep England midfielder Frank Lampard, who has ended talks over a new deal and now appears to be resigned to waiting until his contract runs out before joining Inter Milan following the upcoming season.

The Brazilian has so far added only Portugal playmaker Deco to his midfield ranks.

His first match in charge will be Wednesday's friendly against Guangzhou Pharmaceutical, one of the three games the team will play in China.

Striker Didier Drogba, who has been linked with moves to AC Milan and Barcelona, is not among the touring squad due to a recurring knee problem.

Khalid Boulahrouz, meanwhile, completed his transfer from Chelsea to Stuttgart on a four-year contract with the Bundesliga club.

The Netherlands central defender was released Monday by Chelsea and arrived in Stuttgart's training camp in Austria shortly before midnight after passing a medical exam in Stuttgart.

The deal between Stuttgart and Chelsea was completed Tuesday. Details were not given.

The Dutchman played for Hamburger SV for two seasons before going to Chelsea in 2006. He was loaned to FC Sevilla last season.

Boulahrouz's departure came a day after 35-year-old former France international Claude Makelele signed a two-year deal with Paris-Saint Germain after joining from Chelsea on a free transfer.",Who signed a five-year contract with Chelsea?,Michael Essien,"Ghana international Michael Essien signs new five-year contract with Chelsea .
Midfielder follows Petr Cech and Wayne Bridge in agreeing long-term deals .
The 25-year-old has made 143 appearances since joining from Lyon in 2005 .
Dutch defender Khalid Boulahrouz leaves Chelsea for Stuttgart on 4-year deal .",45
3354,SUMM_LONG,L_STORY,LONG,916,62,5,"(CNN) -- SeaWorld will resume killer whale shows while the company and two federal agencies investigate the death of a whale trainer at SeaWorld Orlando, company and federal officials announced Friday. 

The shows, which were suspended at all SeaWorld locations after the death Wednesday at SeaWorld Orlando, will resume Saturday with new precautionary measures in place, said Jim Atchison, president of SeaWorld Parks & Entertainment. 

Earlier Friday, the Labor Department's Occupational Safety and Health Administration and the Agriculture Department's Animal and Plant Health Inspection Service announced they were looking into the death of Dawn Brancheau, 40. 

Brancheau was pulled underwater when a killer whale named Tilikum grabbed her ponytail. A source at SeaWorld said that after seizing her, the whale dove deep underwater. Trainers eventually had to wrangle the animal into a smaller pool before they could retrieve her body about 40 minutes later. 

WESH: Watch tourist's video just before attack 

A former head of animal training said Friday that Brancheau left herself vulnerable to attack and that she may have broken the park's training protocol. 

""Dawn, if she was standing here right now, would tell you that that was her mistake in allowing that to happen,"" said former SeaWorld trainer Thad Lacinak, who had worked with Brancheau in the past, on ABC's ""Good Morning America."" 

Lacinak called Brancheau ""one the best killer whale trainers I ever worked with."" 

Still, he said, Brancheau should not have been lying in a slideout -- a platform covered by roughly 4 inches of water -- so close to a killer whale. 

""When I was there we did have a protocol that you would not do that, you would not lie down in a slideout and get that close to his mouth. 

""Now, whether she broke that protocol or not I don't know, or if the protocol changed in how they were working with him,"" Lacinak continued. ""But I'm pretty sure it was her breaking the protocol."" 

Atchison said Friday that it's too soon to tell if Brancheau violated protocol. 

""It's far too early to get to that point,"" the SeaWorld president said. ""We're really still trying to collect information, trying to understand the nature and scope of the event."" 

He declined to discuss SeaWorld's training protocols, saying they are ""proprietary documents."" 

Atchison had high praise for Brancheau and said a charitable foundation is being formed to support causes she was interested in. 

He told reporters that video images in connection with the accident have been made available to the appropriate authorities. 

Atchison said Tilikum ""is a wonderful animal"" and ""will remain an active and contributing member of the team despite what happened."" 

""He's a very special animal that requires special handling. Obviously the procedures that we've had in place are something we're revisiting at this point,"" he said. 

Tilikum's size and weight -- 12,000 pounds, compared with 6,000 to 9,000 pounds for the facility's other killer whales -- was one reason there were separate procedures in place for him at the Orlando facility. 

When the shows with killer whales resume Saturday at Orlando and other SeaWorld parks, trainers won't get into the water with the animals. ""Direct interactions"" with the animals were suspended in all three SeaWorld parks after the death. 

Various other improvements and changes will be enacted, Atchison said. 

iReport: Photo taken moments before attack 

Labor Department spokesman Mike Wald said the safety and health agency is looking into whether OSHA workplace standards were violated in the incident. It will complete a report within six months, he said. 

If workplace infractions are found, OSHA will propose financial penalties, Wald said. If that happens, the company could accept the penalties and make any necessary workplace changes or appeal proposed penalties before an OSHA review commission. 

David Sacks, Agriculture Department spokesman, said inspectors are looking into the incident from the animal welfare perspective. 

The Animal and Plant Health Inspection Service wants to know if there were any violations of the Animal Welfare Act, a federal set of minimum",Trainers won't get into what?,water with the animals.,"NEW: Trainers won't get into the water with the whales, CEO says .
NEW: He says charitable foundation being formed in trainer's name .
OSHA, Animal and Plant Health Inspection Service looking into death .
Dawn Brancheau, 40, died Wednesday after whale pulled her underwater .",45
3051,SUMM_LONG,L_STORY,LONG,851,64,2,"(CNN) -- One was the archetypal military strongman, intent on maintaining the social order and saving his country from ""catastrophe."" The other was a charismatic shipyard electrician and trade union leader who was just as determined to lead his countrymen to freedom. Wojciech Jaruzelski and Lech Walesa attend the first multi-party session of the Polish parliament in 1989. Yet nowadays Wojciech Jaruzelski, the last leader of communist Poland, and Lech Walesa both claim, in their different ways, to have played their part in setting Poland on the path to democracy. The rise of Solidarity, the union and social movement which Walesa founded among the dockers of Gdansk in 1980, was crucial to the ultimate collapse of communism in Poland and across the Soviet bloc. Feted in the West, Walesa was awarded the Nobel Peace Prize in 1983 after spending nearly a year locked up as Jaruzelski clamped down on dissent, becoming a symbol of a rising tide of resentment behind the Iron Curtain. By 1989, Solidarity had become an unstoppable social movement, sweeping to victory as the communist authorities relinquished their grip on power by allowing free elections. Walesa describes the union as a screw turning in the opposite direction to the communist regime, ultimately ""destroying the engine."" ""The system was 10 times less efficient than the western system,"" Walesa told CNN, recalling his decade-long struggle. ""It paid less, life was worse. Each country enslaved by the Soviets was different and in Poland we had TV and people could travel so we knew life could be better... and we'd never given up."" But Jaruzelski still believes that without his decision to impose martial law in 1981, Poland's revolt against Soviet domination would have been as ruthlessly and violently quashed by Moscow as had those in Hungary in 1956 and Czechoslovakia in 1968. ""For me personally it was a great tragedy, the consequences of which I've felt to this day,"" Jaruzelski told CNN. ""Martial law was evil. But it was less evil than the real and inevitable threat we were facing. There was a threat of an explosion -- and an explosion in Poland would have meant an explosion throughout Europe."" As a key link in the Soviet Union's chain of Eastern European satellite states, Jaruzelski believes Moscow would never have allowed Poland to break away peacefully: ""I feared a terrible catastrophe. If martial law had not happened, Poland might have been flooded by a sea of blood."" Walesa admits the threat of Soviet intervention in the early 1980s was real, but says Solidarity had already won the argument against communism by the time Jaruzelski imposed martial law. ""I knew we were not going to fight,"" he said. ""Because in Poland there were over 200,000 Soviet troops, they had nuclear arms, and they shot better than us. We could conquer them only this way: You can arrest us, but when we come out we do the same, and we will never work for communism again."" Even his arrest and imprisonment only deepened Walesa's belief that Jaruzelski's government could be toppled: ""My friends advised me to run away but I made a different decision. When they came to arrest me, I said, 'You have lost, I have won. You have just put the last nails into the coffin of communism.'"" These days Jaruzelski is no defender of the system which he served, describing communism as ""beautiful and noble, but utopian."" Yet he believes Solidarity's demands in the early 1980s amounted to an ""economic time bomb"" and that Poland was not ready for democracy at the time. ""The system was bad, I admit it today,"" he said. ""But at the time, I wasn't aware of that. Everything has to ripen -- corn, fruit, man and societies. Western countries took centuries to arrive at democracy. Except for six or seven years after World War I Poland had never been democratic so it was a difficult process."" The Polish authorities also realized the urgency of economic and political reform, Jaruzelski adds, and",Jaruzelski and Walesa spoke to who?,"CNN,","Former Polish leaders Jaruzelski, Walesa speak to CNN .
Jaruzelski was military leader who declared martial law in 1981 .
Walesa was leader of Solidarity, first president of post-communist Poland .
Both men claim to have played key roles in Poland's transition to democracy .",45
1728,SUMM_LONG,L_STORY,LONG,823,74,5,"(CNN) -- Chris Helmbrecht is a 37-year-old German who lived in New York and Spain before moving to Moscow nearly six years ago. He runs an advertising agency and also writes Moscow Blog, a lifestyle blog about the city. Chris Helmbrecht: ""Not many places have as much energy as Moscow."" CNN: You've traveled around a lot -- what makes Moscow unique? Chris Helmbrecht: Not many places have so much energy and so many things going on. It can be very nerve wracking and exhausting, but on the other hand it's very exciting. New York is one of those places, Tokyo too, but there are only a handful of cities in the world that have that kind of energy. CNN: You used to be a DJ -- what's your opinion of Moscow's nightlife? CH: For some people the nightlife is the best in the world, but for me it's very commercial and posh. You can sum it up in one sentence, which is a general thing about Moscow: people here live ""Sex and the City."" They just want to go out and spend money and pretend they're rich and successful and live this dream. I recently had a conversation with the club editor of Timeout Moscow and I asked her if she thought the clubs were suffering right now with the economy. She said that in the modern ""New Russian"" culture people would rather sell their Mercedes than not go out and spend anywhere between $4,000 and $6,000 on a table in a club and admit that they're not rich anymore. Moscow is dominated by posh parties, but it's no different at a subculture place like a techno club -- you're always judged by the labels you wear, the car you drive and the music you identify yourself with. CNN: Where do you like to go in the city? CH: Novodevichy Monastery is a really beautiful old monastery. Stalin demolished a lot of churches and monasteries but this one was spared. There's a pond below it that you can walk around, and all the Russian Orthodox popes are buried in he cemetery. It's a very nice place. Another place is would be Vorobyovy Gory (Sparrow Hills), where you can look out over Moscow. It's pretty industrial looking but it has good views. I also enjoy the center of Moscow. I like hanging out on the roof bar of a hotel, having a drink, looking out over Red Square. It makes you feel like you're away from the noise of the city. What makes Moscow special to you? Let us know. CNN: What do Muscovites do at the weekend? CH: It depends on the time of year, but in the summer they take every opportunity to get out of the city. Everyone has a little weekend house called a ""dacha"" and every Friday night after work people leave the city. From 4pm in the afternoon to 10pm at night you have long traffic jams on all the roads out of the city. People will spend three or four hours in traffic jams just to travel 60km -- and on the way back on Sunday and Monday mornings it's the same. Some ""dachas"" are really basic wooden houses and some are palaces but every family has one, or even two or three. People go out to the woods or lakes and they have barbeques, they drink and they do some gardening. They value this ""dacha"" life so much that they're willing to spend 6 hours in traffic to spend 1 ½ days in the woods. CNN: So is Moscow is deserted in the summertime? CH: Moscow is very quiet in the summertime -- it's my favorite time. You can already notice that there are less people in the clubs and less people in the streets at the weekend. Towards the end of June, Moscow is really empty. You really notice it from the middle of July until September, when it's school vacations. CNN: Has Moscow change a lot since you moved there? CH",What is his age?,37-year-old,"Chris Helmbrecht is a 37-year-old German who now lives in Moscow .
He says Moscow's energy makes it exciting, but it can be exhausting .
Muscovites love to get out of the city at the weekend, says Chris .
""Moscow is renewing itself. In 10 years you won't recognize it,"" he says .",45
4927,SUMM_LONG,L_STORY,LONG,858,66,3,"(The Frisky) -- Groucho Marx once famously quipped ""I don't care to belong to a club that would have me as a member."" I sort of feel the same way about online dating sites. There has got to be a better way to meet people. Sadly, mental telepathy does not work. Unless you know what I was just thinking, in which case, e-mail me. We flock to digital artifices that both feed and coddle our egos, says writer of online dating sites. I've recently begun... researching popular dating sites. Not because I need a date. No! I don't need a date. I'm up to my ears in hot lady action. No, this research is for you, for all of you. It's a testament to my generosity of spirit I waded through these interweb love sewers in order to impart some sort of wisdom. Here's the wisdom: dating sites are terrible. Possibly, if I was in prison, an Alaskan crab fisherman or a morbidly obese shut-in so humongous I had to wash myself with a ShamWow stapled to a broom handle, I could see the value in such sites. But I'm not isolated, nor confined to a forklift. I don't need a middleman brokering a get together between the potential woman of my dreams and my own abilities to self-sabotage and humiliate myself. I can do this without an intermediary. The Frisky: Have to go online to get a date? This might or might not be a totally uninformed opinion. The extent of my research began and ended with me signing up for OK Cupid, and failing to finish my profile. I couldn't even bring myself to pick a pseudonym, which just seemed like the first of many lies required to meet anyone. Do I call myself OptimusGandalf and admit from the get-go that I'm an alpha nerd? Do I overshare a little too much and pick EdgarAllanEeyore? Or do I just admit to being a snarky, pretentious creep and go for HumbertHumbert? The Frisky: Online dating dos and don'ts I tried to fill out the profile, but instead, it just filled me with a quiet rage. The self-summary section was baffling. It pushed me into an existential identity crisis. Who am I? Or more importantly, who am I when it comes to who I want someone else to think I am, so they will contact me, go out with me, and eventually kiss me? Am I a sensitive guy, or a romantic, or sarcastic? Maybe I'm all three. I love long walks, going to see live indie bands, and whatever. I made sure to pepper everything with winking non-sequiturs and casual attempts at pop profundity. Then there was the section where I define myself by the books, movies, and music I listen to. My music list was a near impenetrable list of overly eclectic bands that reflect my excellent taste, punctuated by ""and Genesis."" My movies were all '80s flicks, foreign films, and David Lynch. By the time I got to books, and wrote ""Pynchon,"" I was in a full-fledged state of self-loathing. The Frisky: Five online dating types to avoid Let me get this straight: I'm going to spend a ton of time crafting a persona that is a borderline dishonest amplification of the personality traits I think other people will find attractive so I can find someone who's done the same thing, and we can both go out and discover that we're equally compatible idiots fakers. It's like a masquerade party in the Twilight Zone: I take off my Brad Pitt mask just so I can reveal Sloth from ""The Goonies."" The Frisky: Downside of online dating There are, no doubt, many of you who have met the love of your life via online dating sites. Good for you. Congratulations on basically winning the lottery. I firmly believe I have a better chance of getting a girlfriend dressed like Zeus, stopping women on the street, and bellowing",What would he be better doing?,meet people.,"Writer has trouble filling out his profile for an online dating service .
He figures if he is borderline dishonest about his traits, his date will be too .
Thinks he would be better off dressing like Zeus, bellowing on the street at women .
Says online dating sites draw singles who feel entitled to instant happiness .",45
10138,SUMM_LONG,S_STORY,LONG,485,62,5,"Washington (CNN) -- African-Americans are extremely supportive of President Obama, but their enthusiasm appears to have dramatically dropped from earlier this year, according to a new national poll. The CNN/Opinion Research Corp. survey, released Tuesday, also indicates that Obama's presidency appears to have made blacks more optimistic about race relations, but less than one in five believe the new president has ushered in a new era of race relations in the country. More than nine in 10 blacks questioned in the poll approve of the job Obama's doing in the White House, far higher than 42 percent of whites who approve of his performance as president. But when asked how they personally feel about Obama's presidency, only 42 percent of black respondents say they're thrilled, with nearly half of those questioned saying they are happy but not thrilled. The 42 percent who are thrilled is down from 61 percent in January, when Obama was inaugurated. ""African-Americans are still big fans of the first black president in U.S. history, but the thrill is gone,"" said CNN Polling Director Keating Holland. According to the poll, 51 percent of African-Americans say Obama's presidency has brought some improvement in race relations in the U.S., but only 18 percent feel it's the start of a new era. Another 23 percent say they've seen a real change in race relations over the past 11 months and 7 percent say things have gotten worse. The survey indicates that three-quarters of blacks believe race relations will improve eventually, which is up from 49 percent of blacks who felt that way a year before Obama was elected. ""Whites take a dimmer view of Obama's effect on race relations, with a third believing that the new presidency has not changed race relations in the country and 15 percent of whites saying that Obama has made race relations worse,"" Holland added. ""Not surprisingly, whites are less supportive of Obama, although for a notable number of whites, their negative view of the president is due to the perception that he's not been liberal enough."" The CNN/Opinion Research Corporation poll was conducted December 16-20, with 1,160 adult Americans, including 259 African-Americans and 786 whites, questioned by telephone. The survey's overall sampling error is plus or minus 3 percentage points and plus or minus 6 percentage points for the African-Americans sample. CNN Deputy Political Director Paul Steinhauser contributed to this story",How many blacks approve Obama's job?,More than nine in 10,"CNN/Opinion Research Corp. Poll released Tuesday .
Poll: More than nine in 10 blacks approve of the job Obama is doing .
Black respondents saying they're ""thrilled"" down 19 points from January .
Approval rating more than twice as high among blacks than among whites .",45
