run_id,run_status,model,quantization_level,task_type,row_id,prompt
run_0002,PENDING,Falcon-3B,INT8,SUMM_LONG,6611,"Context: ""JERUSALEM (CNN) -- Some Israeli archaeologists are having a particularly happy Hanukkah, thanks in part to a British volunteer who took time off from her job to work on a dig. Archaeologists found a hoard of gold coins from the 7th century in Jerusalem on Sunday. The Israel Antiquities Authority reported a thrilling find Sunday -- the discovery of 264 ancient gold coins in Jerusalem National Park. The coins were minted during the early 7th century. \""This is one of the largest and most impressive coin hoards ever discovered in Jerusalem -- certainly the largest and most important of its period,\"" said Doron Ben-Ami and Yana Tchekhanovets, who are directing the excavation on behalf of the Israel Antiquities Authority. Researchers discovered the coins at the beginning of the eight-day Jewish holiday of Hanukkah, which started at sunset on Sunday. One of the customs of the holiday is to give \""gelt,\"" or coins, to children, and the archaeologists are referring to the find as \""Hanukkah money.\"" Nadine Ross, a British archaeological volunteer, happened onto the coins during the dig just below the walls of the Old City of Jerusalem. \""To be honest, I just thought, 'Thank God I didn't throw it in the rubbish bucket,' \"" said Ross, who had taken four weeks off from her engineering job in England to work at the site. \""I was just glad I sort of spotted it before I disturbed it too much.\"" The 1,400-year-old coins were found in the Giv'ati car park in the City of David in the walls around Jerusalem National Park, a site that has yielded other finds, including a well-preserved gold earring with pearls and precious stones. They were in a collapsed building that dates back to the 7th century, the end of the Byzantine period.  The coins bear a likeness of Heraclius, who was the Byzantine emperor from 610 to 641. The authority said that while different coins had been minted during this emperor's reign, the coins found at the site represent \""one well-known type.\"" In that style, the emperor is clad with military garb and is holding a cross in his right hand. On the other side is the sign of the cross. Authorities said the excavation of the building where the hoard was discovered is in its early stages. They are attempting to learn about the building and its owner and the circumstances of its destruction. \""Since no pottery vessel was discovered adjacent to the hoard, we can assume that it was concealed inside a hidden niche in one of the walls of the building. It seems that with its collapse, the coins piled up there among the building debris,\"" Ben-Ami and Tchekhanovets said. The find is a a golden moment for Ross, who said \""it is a pity that I can't take it home with me. But there you go.\"" CNN's Shira Medding and Ben Wedeman contributed to this report.""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0003,PENDING,Falcon-3B,INT8,SUMM_SHORT,4012,"Context: ""(CNN) -- The mother of Lisa Irwin, an 11-month old Missouri girl missing for nearly two weeks, said in an interview she was drunk the night the infant disappeared. 

Deborah Bradley made the admission during an NBC interview, portions of which were aired Monday on \""Today.\"" 

She also said she last saw Lisa at 6:40 p.m. October 3, when she put the girl to bed, not at 10:30 p.m., as initially believed. 

Lisa was reported missing at 4 a.m. October 4, after Lisa's father, Jeremy Irwin, came home from work to find the door unlocked, lights on and a window that had been tampered with at the family's Kansas City home. 

Bradley told NBC she is afraid she will be arrested. Police have accused her of killing Lisa, she said, and told her that she failed a lie detector test, with deception indicated when she was asked where Lisa was. 

\""I was the last one with her,\"" a tearful Bradley said in the interview. \""And from judging on how the questioning went, that's kind of a fear that I have. And the main fear with that is, if they arrest me, people are going to stop looking for her. And then I'll never see her again, and I'll never know what happened.\"" 

Asked how much she had been drinking that night, Bradley said, \""enough to be drunk.\"" 

But she rejected the notion that she could have harmed her daughter while under the influence of alcohol. 

\""No, no, no,\"" she told NBC. \""And if I thought there was a chance, I'd say it. No. No. I don't think alcohol changes a person enough to do something like that.\"" 

She said it's \""terrible\"" that police may be focusing on her. \""My daughter is missing,\"" she said. \""The last thing that I want to have to worry about is something like that. I shouldn't have to put any energy, any time or effort, into anything but finding her.\"" 

Asked whether he had questions about Bradley, Irwin told NBC, \""No. There's no question to be had there. I know who she is. I know the kind of mother she is.\"" 

He said it's possible someone could have entered the house without Bradley hearing, as the couple's bedroom is on the opposite corner of the house from Lisa's room and Bradley sleeps with a fan at high speed. 

Police have said three cell phones were also missing from the home along with Lisa. 

On Sunday, Missouri Gov. Jay Nixon ordered the one-day deployment of 25 National Guardsmen to help search for Lisa. 

Two anonymous benefactors have offered a $100,000 reward for Lisa's safe return, according to Bill Stanton, a private investigator working with the family. 

Irwin and Bradley told NBC they have refused to let authorities re-interview Lisa's older brothers. 

\""They said they heard noises (the night Lisa disappeared),\"" Bradley said. \""I don't know if that was before we went to sleep or after.\"" She said she has not talked to her sons about it because she is reluctant to put them through \""anything else.\"" 

Asked what she would say to someone who might be holding Lisa, Bradley told NBC, \""She needs her family, and we need her. We're losing more sanity as each day progresses.\"" 

Lisa is described as being 30 inches tall with blue eyes and blond hair, according to police. She weighs between 26 and 30 pounds and was last seen wearing purple shorts and a purple shirt with white kittens on it. 

The missing girl has two bottom teeth and a \""beauty mark\"" on her right outer thigh, police said. At the time of her disappearance, she had a cold with a cough.""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0007,PENDING,Falcon-3B,INT8,SUMM_SHORT,4969,"Context: ""(Tribune Media Services) -- Fantastique France continues to make its heritage and culture easier for travelers to appreciate. Being up-to-date on changes for 2009 will help your visit go smoothly. The Eiffel Tower is planning to offer online reservations, allowing visitors to book an entry time and avoid a long wait. Due to a smoking ban, you'll enjoy fresh air in bars, cafes and restaurants throughout France. The smokers have scurried outdoors to sidewalk tables; many of those seats now come with space heaters in winter. If you're traveling in France by railpass, it's increasingly important to book trips on the TGV bullet trains in advance, as there's a strict limit on the number of seats allowed for railpass holders. And with high gas prices -- and the recognition among Europeans that rail travel is about as green as you can go -- trains are more crowded than ever. In Paris, the transit system has introduced a chip-card called the Passe Navigo Decouverte, but for most tourists, the \""carnets\"" (packs of 10 individual tickets) are still the better deal. The new Passe costs about $27, runs strictly from Monday through Sunday, and requires a photo, which means it's not shareable. In contrast, a 10-ticket pack costs about $14, is shareable, and has no expiration date. Paris' Notre-Dame Cathedral has a new modest-dress rule. The \""no shorts\"" code is not strictly enforced, but inside you're expected to be quiet and respectful. A new online reservation system for the Eiffel Tower may debut in 2009, allowing Tour-Eiffel-ists to book a half-hour time slot and avoid the notorious lines. At the Army Museum nearby, the section on 19th-century French military history (\""Revolution to Napoleon III\"") should reopen in the spring. The museum also has a new Charles de Gaulle wing, offering a 25-minute film, plus a high-tech display of photos tracing the life of France's towering 20th-century figure. Paris' market streets delight many visitors. While rue Cler (near the Eiffel Tower) has become quite touristy, rue des Martyrs (at the foot of Montmartre) is edgier and a great way to connect with workaday Paris. If you'd like to \""do the Time Warp again\"" while ducking airborne \""French\"" toast, you can enjoy the cult movie \""Rocky Horror Picture Show\"" with a Parisian crowd Friday and Saturday nights in the Latin Quarter (www.rocky.fr). Travel Snapshots: Paris The Palace of Versailles is undergoing extensive renovation so expect some closures. Repair projects may close its Opera House through June; the Petit Trianon may be closed or only partially open. Busy sightseers can save both time and money by visiting Versailles with the Paris Museum Pass. The pass covers most major sights in and around Paris, pays for itself in about three entries, and allows you to walk right by the long ticket-buying lines at places like the Louvre, the Orsay Museum, the Sainte-Chapelle chapel, and Versailles (www.parismuseumpass.com). However, everyone needs to wait through any bag-check security line. The charming city of Reims, rebuilt after World War I when Art Deco was the prevailing style, is now served by a speedy TGV train, making it an easy day trip from Paris. Reims is known for its champagne tours (Mumm, Taittinger and Martel), giant cathedral (with Chagall stained glass), and fascinating Museum of the Surrender (General Eisenhower's final World War II headquarters with stirring artifacts and the document of surrender that was signed by German generals right there). This year is the 65th anniversary of the D-Day landings in Normandy; prepare for big crowds -- especially from June 1 to 10. Also in Normandy, a museum has opened at Dead Man's Corner, a critical crossroads between Omaha and Utah beaches that saw five torrid days of fighting in 1944. This museum, south of Ste. Mere-Eglise, is a hit with enthusiasts as every display case shows incredible attention to detail. It also""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0014,PENDING,Falcon-3B,INT8,SUMM_LONG,4996,"Context: ""(WIRED) -- The U.S. Marine Corps has banned Twitter, Facebook, MySpace and other social media sites from its networks, effective immediately. The Marine Corps fears that social media sites such as Facebook could pose a security risk. \""These internet sites in general are a proven haven for malicious actors and content and are particularly high risk due to information exposure, user generated content and targeting by adversaries,\"" reads a Marine Corps order, issued Monday. \""The very nature of SNS [social network sites] creates a larger attack and exploitation window, exposes unnecessary information to adversaries and provides an easy conduit for information leakage that puts OPSEC [operational security], COMSEC [communications security], [and] personnel... at an elevated risk of compromise.\"" The Marines' ban will last a year. It was drawn up in response to a late July warning from U.S. Strategic Command, which told the rest of the military it was considering a Defense Department-wide ban on the Web 2.0 sites, due to network security concerns. Scams, worms, and Trojans often spread unchecked throughout social media sites, passed along from one online friend to the next. \""The mechanisms for social networking were never designed for security and filtering. They make it way too easy for people with bad intentions to push malicious code to unsuspecting users,\"" a Stratcom source told Wired.com. Yet many within the Pentagon's highest ranks find value in the Web 2.0 tools. The Chairman of the Joint Chiefs of Staff has 4,000 followers on Twitter. The Department of Defense is getting ready to unveil a new home page, packed with social media tools. The Army recently ordered all U.S. bases to provide access to Facebook. Top generals now blog from the battlefield. \""OPSEC is paramount. We will have procedures in place to deal with that,\"" Price Floyd, the Pentagon's newly-appointed social media czar, said. \""What we can't do is let security concerns trump doing business. We have to do business... We need to be everywhere men and women in uniform are and the public is. If that's MySpace and YouTube, that's where we need to be, too,\"" Floyd said. The Marines say they will issue waivers to the Web 2.0 blockade, if a \""mission critical need\"" can be proven. And they will continue to allow access to the military's internal \""SNS-like services.\"" But for most members of the Corps, access to the real, public social networks is now shut off for the next year. Subscribe to WIRED magazine for less than $1 an issue and get a FREE GIFT! Click here!""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0035,PENDING,Falcon-3B,INT8,SUMM_SHORT,1376,"Context: ""(CNN) -- An outspoken Saudi human rights advocate who was imprisoned without charge for nearly eight months was freed this weekend, according to a fellow human rights activist.

Matrook al-Faleh, shown in 2004, was seized after he criticized prison conditions, says Human Rights Watch.

Matrook al-Faleh \""is doing very well\"" after leaving Al-Hayer maximum security prison near Riyadh, Saudi Arabia, late Saturday, said colleague Mohammed al-Qahtani, who visited al-Faleh on Sunday.

\""He is very healthy and his morale is quite high -- surprisingly after eight months,\"" said al-Qahtani.

Both men are Saudi college professors.

It's unclear why al-Faleh was arrested. A Human Rights Watch report condemning the arrest and urging al-Faleh's release said his detention came two days after he publicly criticized conditions in a prison where two other Saudi human rights activists are imprisoned.

It was also unclear why he was held for so long. According to al-Qahtani, Saudi law mandates that no one can be held for more than six months without charge.

\""The criminal code says you charge him or release him, but sometimes they do not respect the law they issued,\"" al-Qahtani said.

An official at the Saudi Interior Ministry said he had no details about al-Faleh's case.

Jamila al-Uqla, al-Faleh's wife, spoke to CNN in May, shortly after her husband was detained.

She described how her husband had been arrested without charge and interrogated repeatedly. Al-Faleh had decided to go on a hunger strike to demand that he be told why he was being held, she said.

His wife stressed that she and al-Faleh are patriotic Saudis. \""My husband is transparent and doesn't hide anything,\"" said al-Uqla. \""He says whatever he sees. He has loyalty to his country and the interests of his country.\""

It was not Al-Faleh's first brush with the Saudi legal system. Al-Faleh, Abdullah al-Hamid and Ali al-Dumaini, who runs a Saudi discussion Web site, were arrested in 2004 for circulating a petition meant for then-Crown Prince Abdullah which called for a constitution guaranteeing basic human rights.

A court sentenced al-Faleh, Abdullah al-Hamid and Ali al-Dumaini, to six, seven and nine years respectively. But King Abdullah pardoned them in August 2005, Human Rights Watch said.""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0037,PENDING,Falcon-3B,INT8,QA,8861,"Context: ""Port-au-Prince, Haiti (CNN) -- Dr. Roberto Feliz and Dr. Hiba Georges were quickly jolted from the most modern of medical care in Boston, Massachusetts, to the most rudimentary of care when they flew to Haiti last week to work at a hospital housed in two tents run by the University of Miami. 

The doctors, who worked at the Boston Medical Center, quickly learned that when you have no technology -- not even the simplest blood test -- you have to make medical decisions in an entirely different way. 

The first death they witnessed taught them a valuable lesson. 

The patient was a boy who needed his leg amputated or else he would die of either an infection or rhabdomyolysis, a kidney disease that follows injuries where muscles are crushed. 

Find loved ones in Haiti | Share your story 

Feliz, Georges and the other doctors had nowhere to take the boy. Their own hospital had yet to open its operating room, so they spent hours trying to find a hospital that could do surgeries. Their search was in vain. 

Finally, the doctors decided to do the surgery themselves that night by the moonlight under a mango tree. 

\""We just sawed his foot off. We didn't have to use anesthesia because he was already unconscious and wasn't feeling a thing,\"" Feliz says. 

But they'd waited too long. The boy took his last breath during the surgery. 

\""Some of the doctors cried,\"" Feliz says. \""I told them, 'There is no crying in medicine.'\"" 

As a direct result of the boy's death, a few hours later, at 3 in the morning, the surgeons at the University of Miami hospital decided to build their own operating room. They had no surgical lights, no oxygen, no blood, no ventilators and no monitors. For a tourniquet they used one of the doctor's belts. 

\""We'd been waiting to build the operating room until we received better equipment, but after that boy's death we became more aggressive. We said let's do it, because they're going to die anyway,\"" Feliz says. 

The doctors continued to learn lessons about what one had called \""civil war medicine\"" after the operating room went up. 

At one point, a 16-year-old boy needed an amputation, but the surgeons asked Feliz and Georges to make sure the boy's kidneys were working before they put him through surgery. Without any blood tests to assess kidney function, the only thing they could look for was urine as a sign that his kidneys were working. 

\""We tried to see if we could get some urine going, but there was not a drop. We filled him with fluids and gave him Lasix, a diuretic, to get him to pee, but nothing,\"" Feliz says. 

The boy died as the doctors were treating him. 

\""I saw a lot of deaths there, but this one hit me the hardest,\"" he says. \""I texted my wife back at home, 'I've had a bad day.'\"" 

After that boy's death, surgeons were quicker to give permission to amputate, Feliz says. 

Feliz says if there's any silver lining to practicing such rudimentary medicine, it's that it made him a more humble doctor. 

\""Back in Boston, I'm a hot shot. The nurses have to respect me,\"" Feliz says. \""Here, I'm just a worker bee. I cleaned the OR floor after surgery. I carried dead bodies down the street. I was in traffic carrying dead bodies. That makes you human. I came here a very fancy doctor, and I'm leaving here as a humble man.\""""
Question: ""what is causing surgeons to amputate more quickly?""
Task: ""Answer the question using only the information in the context. Output only the answer phrase."""
run_0043,PENDING,Falcon-3B,INT8,SUMM_SHORT,3752,"Context: ""(CNN) -- The Rev. Billy Graham, the 88-year-old legendary Christian evangelist, was hospitalized in North Carolina early Saturday for evaluation and treatment of intestinal bleeding. Evangelist Billy Graham speaks at the Billy Graham Library dedication on May 31, 2007, in Charlotte, North Carolina. He was admitted to the Mission Health and Hospitals in Asheville, North Carolina, near his home in Montreat, and is listed in fair condition, a hospital spokesman said in a written statement. \""Mr. Graham's physicians said the illness does not appear to be life-threatening, as Mr. Graham's condition had stabilized over the hours following admission and treatment. \""An upper endoscopy and a bleeding scan showed no areas of bleeding in the gastrointestinal tract. The physicians say the bleeding may have come from diverticuli, small pouches that can form in the lower intestine. These may become irritated and bleed. A diverticular bleed often begins suddenly and may stop on its own.\"" Graham's wife, Ruth Bell Graham, died in June. E-mail to a friend""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0045,PENDING,Falcon-3B,INT8,SUMM_SHORT,632,"Context: ""(CNN) -- \""For architects, perfection is necessary,\"" said Japanese architect Kengo Kuma. \""It is my mission to use the kindness and delicateness that old architecture had. I believe that this mission is not easy to complete. So I am planning to work until I fall down.\"" With nearly 60 projects on the go across the world, Kuma's search for perfection is all consuming; he rarely takes a day off from work and sometimes even finished projects are analyzed and amended. The 55-year-old from Tokyo has become synonymous with delicate simplicity and sensitivity to a building's surrounding. From the Great (Bamboo) Wall House located near the Great Wall of China outside of Beijing to the Suntory Museum of Art in Tokyo, Kuma has employed natural materials that complement a building's location to great acclaim. View the gallery of Kuma's spectacular buildings \""I try to catch the atmosphere of the place where we build the house. We try to find out how the people live there and what kind of materials they use. After we find out the atmosphere of the place, we will think how we can relate that with the architecture.\"" Using mostly glass and Chinese bamboo to make the house by the Great Wall, it comfortably blended into the natural surroundings, but the Suntory Museum of Art, completed in 2007 presented different challenges. \""Usually, a building in a massive developed area tends to be a sad building. However, I wanted to make a building which is warm and could feel a human's touch. To make that ideal building, I used natural material such as Japanese paper and paulownia [wood]. I wanted to take back the human element even if the building was inside the city.\"" Much of modern architecture is often unfairly portrayed as lacking that human element, but Kuma's focus on retrieving and remaining Japanese traditions in architecture has gone some way to dispel that myth. It is a far cry from his initial architectural fascination with concrete, in part inspired by the Olympic stadium designed by Kenzo Tange for the 1964 Games in Tokyo. \""I learned that architecture can impress people. If the Olympics were not held in Tokyo, I might not have become an architect,\"" he told CNN. If Tange's buildings for the Olympics were responsible for sparking Kuma's imagination, he's followed a different path in his career. After earning a master's degree in architecture from The University of Tokyo in 1979 and further study at Columbia University in New York, he returned to Japan in 1986 -- a boom time for architects. \""People who were only about 30-years-old could design a building. It was an era of post-modernism and a lot of young people were making outstanding buildings during that time.\"" But the economic recession hit Japan in 1992 and it had a profound impact on Kuma's life and changed his attitude to architecture. \""I didn't have a job in Tokyo for 10 years. I was designing small buildings in the countryside. I worked with a craftsman and studied how to use natural materials in those 10 years. From this experience, I learned the great aspects of Japanese traditional architecture. I started to design traditional Japanese architecture and foreign people took notice of the design,\"" he said. \""I think the cities of Japan are a bit damaged by the concrete buildings,\"" Kuma added. \""Because of the sub-prime issue and now another economic crisis, I feel this is again a good opportunity for architects to design buildings slowly.\"" In focusing taking a more holistic approach to his craft, Kuma has promoted the humanizing elements of architecture and its ability of improve people's lives. It's an approach that he has likened to making sushi. \""There are two important things to make sushi. One is the material and the other is the skill... For sushi, both the power of the material and skill is important and their balance is very important. \""I believe that this balance is what people want,\"" Kuma continued. \""People and society are seeking the thing like sushi""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0049,PENDING,Falcon-3B,INT8,SUMM_LONG,3609,"Context: ""(CNN) -- Taping of \""The Real Housewives of Atlanta\"" reunion special, scheduled for last week, has been postponed as the cast deals with the death of Kandi Burruss' former fiancé, Ashley \""A.J.\"" Jewell, an NBC Universal spokeswoman told CNN Monday. The Atlanta \""Housewives\"" have been touched by tragedy this season with a loved one's death. The show is now winding down its second season on the network, and the two-part episode was expected to air on October 29 and November 5. Cast member and purported \""sixth housewife\"" Dwight Eubanks told the Atlanta Journal-Constitution that he was \""shocked\"" when he heard of Jewell's passing but does expect the taping to resume eventually. \""I don't see them editing [Jewell] out,\"" he told the newspaper. \""It's television. It's reality. We just have to prepare and gear up for next year.\"" So far, Bravo hasn't erased Jewell's presence from the series. Although scenes with Jewell weren't a part of last Thursday's episode, \""Housewives\"" viewers did watch as Kandi debated the future of her engagement to Jewell with castmate Kim. Blog: What happened on \""Housewives\"" But commercials for this Thursday's episode showed clips from therapy sessions with Burruss, her mother and Jewell. Eubanks told the Journal-Constitution that he doesn't know if Burruss will continue with the \""Housewives\"" or not. \""She's had such a dramatic year,\"" Eubanks said. \""She had her uncle die, too. She has her own career to focus on. Now her life has changed with her daughter and taking temporary custody of [A.J.'s] twins.\"" Jewell, who died at 34 after a fight outside of an Atlanta strip club on October 3, was buried on October 9.""
Task: ""Write a concise summary of the context of about 45 words. Output only the summary."""
run_0061,PENDING,Falcon-3B,INT8,SUMM_SHORT,7728,"Context: ""London, England (CNN) -- Britain's new Cabinet held its first meeting Thursday and promptly agreed to a five-percent pay cut for all new ministers, Downing Street said. 

Tackling the country's debt crisis is a top priority for new Prime Minister David Cameron, who took office Wednesday. 

The decision means all members of the new Cabinet -- including Cameron -- will be paid five-percent less than their predecessors in the government of Gordon Brown, Downing Street said. 

The reduction in Cabinet minister salaries alone will save taxpayers about £50,000 ($73,800) this year, Downing Street said. 

The Cabinet also agreed to a ministerial pay freeze for the lifetime of the current Parliament, which is not scheduled to have elections again for another five years. 

The salary cuts and pay freeze will save approximately £3 million ($4.4 million) over the life of the Parliament, Downing Street said. 

Every member of Parliament receives a basic annual salary of £65,737 ($97,105). Those who are members of the Cabinet receive an additional salary on top of that, with the amount depending on their position. The additional salary can range from about £69,000 to about £134,500 ($101,500 to $198,000). 

For Cameron, the pay cut means he will earn £142,500 ($210,000) in his role as prime minister, compared to the £150,000 ($220,000) earned by Brown, his office said. That's on top of the salary he receives as a member of Parliament, representing the constituency of Witney, about 65 miles northwest of London.""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
