run_id,run_status,model,quantization_level,task_type,row_id,prompt
run_0005,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,4627,"Context: ""(CNN) -- You had a close encounter with a 40-yard-wide asteroid this week, but the astronomer who first spotted the large rock said it's nothing to worry about. An asteroid (inside circle) passed within 38,000 miles of Earth on Monday. Asteroid 2009 DD45 on Monday passed within 38,000 miles of Earth, less than twice the height of the geostationary satellites we depend on for communications, according to Robert McNaught of the Australian National University. McNaught, who watches for asteroids with his telescope 250 miles northwest of Sydney, Australia, discovered the approaching rock last week. \""It's not something to worry about, but something to be aware of,\"" he said. While a direct hit on Earth could be a devastating natural disaster, McNaught said keeping track of asteroids can make a hit \""potentially preventable.\"" \""If discovered in advance and with enough lead time, there is the possibility of pushing it off course, if you have decades of advance warning,\"" McNaught said. \""If you have only a few days, you can evacuate the area of impact, but there's not a great deal [else] you can do.\"" In either case, he said, a global catastrophe as depicted in Hollywood movies such as \""Deep Impact\"" is \""very, very unlikely.\"" The 2009 DD45 asteroid circles the sun every 18 months, but its path will not threaten this planet at least for the next century, he said. The number of \""potentially harmful asteroids\"" discovered each year has grown dramatically over the past decade as \""systematic programs\"" to scan the skies have been put in place, McNaught said. Nearly 100 new ones have been found in each of the past several years, he said.""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0058,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,1535,"Context: ""(CNN) -- Authorities have identified both people who died after being swept away by fierce waves churned up by Hurricane Bill on the East Coast. Tourists watch waves crash ashore at Acadia National Park in Maine on Sunday. Clio Axlerod, 7, of New York, died after a wave knocked her and six other people into the Atlantic at Maine's Acadia National Park on Sunday, Park Chief Stuart West said. Of the other six who were swept from that park into the ocean, four made it back to shore on their own. Two -- Axlerod's father, Peter Axlerod, 55, and Simone Pelletier, 12, of Belfast, Maine -- were rescued by the Coast Guard, he said. The victims were among several thousand people who were at the park late Sunday morning to watch the high waves that Bill -- then a Category 1 hurricane -- was producing. iReport.com: See photos shot before tragic wave incident The people knocked into the water were on a rock cliff about 20 feet above the sea, West said. A wave struck at about 11: 50 a.m., pushing water onto the ankles of some of the people standing on \""top of what we think would be a safe area,\"" West said. People started to turn back, but then they were hit by a larger wave, which sent the seven into the sea, West said. Some people were taken to a hospital with broken bones or other injuries, according to Sheridan Steele, the park's superintendent. A witness, Mary Ellen Martel of Maine, said that before the seven were swept into the ocean, people were clapping and laughing when the wind would bring the spray over. \""It was a very festive atmosphere,\"" Martel said in a telephone interview. \""It was a warm, sunny day and everyone was just enjoying the show that Mother Nature was offering, but not everybody knows to stay away from the edge -- or way, away from the edge.\"" Martel, who had come to the park with her husband, said she feels \""pretty certain\"" she had been on the same ledge as some of the victims who were swept to shore. Martel had stood far enough back that the first wave did not affect her much, but when she saw the second coming, she turned her back to protect a camera she had. She was doused from her shoulders down, and she went for the road that led away from the area, she said. \""When I looked [back], everybody was scrambling to get off the ledge,\"" she said. Angel Rosa, 54, had come with family to Bethune Beach, one of Volusia County's 40 miles of beaches, Petersohn said. Although lifeguards had warned people not to go in the water because the offshore wind built waves to between 10 and 13 feet tall, Petersohn said, he suspects that's exactly why Rosa was in the water. \""I have a feeling he probably came over to body surf these huge waves,\"" he said. He added that such waves come along only every few years. Rosa entered the water Saturday afternoon with a group, but was separated from them, Petersohn said. His fellow swimmers reported Rosa missing, he said, and as rescue teams were mobilizing, beach patrol received an emergency call that a man had been dragged to shore a half-mile away. Petersohn said Rosa might have suffered some kind of trauma that contributed to his drowning. Emergency personnel treated three spinal injuries during the weekend, Petersohn said, as the tough waves slammed swimmers into the bottom. An autopsy report on Rosa is expected in coming days. \""It's very unfortunate that this happened, and everyone feels terrible about it, but it's not something I'm surprised about,\"" Petersohn said. \""As big as the surf was, as treacherous as it was, it doesn't surprise me.\"" Bill was downgraded to a tropical storm and then to an unnamed storm Monday as it headed into the northern Atlantic. The storm was expected to be in the British Isles""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0067,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,3928,"Context: ""(CNN) -- The father of a New Year's Day baby pleaded guilty Thursday to killing the infant by violently shaking him. Camryn Jakeb Wilson was the first baby born in 2008 in Summit County, Ohio, arriving at 12:33 a.m. January 1. Craig Wilson's guilty plea in Akron, Ohio, to murder and child endangering charges ended a yearlong saga surrounding the death of Camryn Jakeb Wilson, the first baby born in Summit County, Ohio, in 2008. \""This type of crime is always difficult to understand, but today I do hope that Camryn's mother has some closure and that today is one step toward healing,\"" Summit County Prosecutor Sherri Bevan Walsh said. Camryn's mother, Crystal Wilson, had left the 10-week-old infant in his father's care on March 12, 2008, while she attended a meeting. When she returned to their Cuyahoga Falls home she found Camryn in a baby swing, listless and breathing abnormally while her husband of 10 months sat on a couch. Doctors at Akron Children's Hospital quickly determined that Camryn had suffered traumatic brain injuries and bleeding in his eyes that could only have been caused by violent shaking.  Learn about shaken baby syndrome » Camryn died in his mother's arms, surrounded by other family members, on March 25, 2008, shortly after being removed from life support. Craig Wilson, 29, confessed to police that he was frustrated after an argument with his wife over his ex-girlfriend and a child he had with her. He shook and squeezed Camryn before laying him in the swing but hadn't intended to hurt the infant, he told police. The National Center on Shaken Baby Syndrome estimates that as many as 1,400 babies annually are injured or killed by shaking. Despite the confession, the case dragged on for a year after an autopsy showed Camryn had suffered broken ribs prior to the fatal shaking. The finding raised the possibility that another person had previously abused Camryn and perhaps contributed to his death, said Jonathan T. Sinn, Craig Wilson's defense attorney.  See photos of the family » Craig Wilson's trial was scheduled to begin Monday. Sinn had hoped to negotiate a plea deal with prosecutors that would send Craig Wilson to prison for a flat 20-year term, but in the end, prosecutors wouldn't budge. \""From the moment my client was arrested, he took responsibility for his actions and for the killing of his child,\"" Sinn said. \""From a human perspective, that's very admirable. From a defense perspective, it makes it difficult to mount a defense when somebody acknowledges completely their guilt.\"" Judge Lynne Callahan sentenced Wilson to 15 years to life. He is unlikely to be paroled in less than 20 years, Sinn said.""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0095,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,6000,"Context: ""Editor's note: CNN affiliates report on where job seekers are finding work across the country and how those looking for employment are coping with the situation. Baltimore Mayor Sheila Dixon, shown in April, once worked in a city jobs program as a youth. (CNN) -- Some of the stimulus money from the U.S. government is going to programs that help young adults find jobs. In Baltimore, Maryland, the city wants to put more than 7,000 to work, mostly in local government jobs. It will use more than $6 million from the federal government and sponsorship money, according to WBAL-TV in Baltimore. Baltimore Mayor Sheila Dixon recalled her days as a young worker. \""I worked at a camp, and then in high school, I was able to continue to work in the program,\"" she said. Read the full report on WBAL In Palm Beach Gardens, Florida, Kahtoya Wesley, 20, has had difficulty finding a job, but she has a better chance of finding work now because she has joined the Summer Youth Employment Program, according to WPBF-TV in West Palm Beach. So far 200 people have landed jobs through the program, an initiative of the Workforce Alliance of Palm Beach County, WPBF reported. The organization is using $3 million of stimulus money to fund the positions the young adults find, the station said. iReport.com: Share your job hunt story The group also prepares the job seekers for interviews and provides seminars in how to deal with work-life situations. \""I got fired like five times. It was bad,\"" John Hill told WPBF. He chose a seminar on working better with a supervisor. \""Because I usually don't,\"" he told the station. Read the full report on WPBF The state of Arkansas is using federal money to fund jobs for at-risk students in Springdale, according to KHBS-TV in Fort Smith, Arkansas. The town's youth center hired five teens to work in clerical and maintenance positions, KHBS reported. David Cook told the station he has had trouble motivating himself to go to school. The summer job was helping him with a shift on focus. \""It gives me a sense of responsibility of showing up on time, working on a schedule and with other people,\"" he told KHBS. Read the full report on KHBS West: FedEx center brings 650 jobs to Oregon Even before a new FedEx shipping center brings hundreds of jobs to Troutdale, Oregon, it is helping with employment through road construction jobs, according to KPTV-TV in Portland. The new hub, which is expected to be completed in July 2010, will bring more than 1,000 additional cars to the area, so the Oregon Department of Transportation called for two additional lanes at a nearby major intersection, KPTV reported. FedEx is expected to employ 650 workers at the facility once it opens, according to KPTV. \""We're creating family wage jobs, because this project will take place this summer,\"" Troutdale Mayor Jim Kight told the station. Oregon's unemployment rate was a record 12.4 percent in May. Read the full report on KPTV South: No job? Create your own He was once a senior loan officer who had been laid off and was looking every day for a job anywhere there might be an opportunity. When he couldn't find the right chance, he created his own. Kenneth Hodge is now a small business owner, the founder of SFG Records. \""If you look at your failures, if you stare at your failures too long, you'll never go anywhere,\"" Hodge told WPBF. \""But if you look beyond your failures, you can move to and fulfill your dreams. You can do that. I think I can do that, and we are doing that.\"" Six recording artists are featured on his Web site, and Hodge told the West Palm Beach station that he has already hired seven employees. Read the full report on WPBF Midwest: Iowa town sees trickle-down effect from stimulus Federal stimulus""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0103,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,1506,"Context: ""(CNN) -- Atlanta Falcons quarterback Michael Vick is expected to plead guilty to federal conspiracy charges involving an illegal dogfighting operation, according to one of his attorneys. Leah Perry, who sent this photo of son Bobby and dog Rosie, thinks Vick should not be allowed back on the field. The plea deal may include prison time, but the NFL has not yet decided what football sanctions, if any, it should impose on Vick, a spokesman said. We asked CNN.com readers whether they thought Vick would -- or should -- play professional football again as well as their opinions on the case.  Below is a selection of those responses, some of which have been edited for length and clarity. Stephanie King of Arlington, Washington Michael Vick is a disgrace. For anyone thinking he should be let off easy for admitting his guilt -- think again. The only reason he did that was because he knew the evidence against him was so great. Remember only shortly ago he was stating vehemently that he \""only owned\"" the property and had no idea what was going on there. It wasn't until the eyewitness accounts were brought to light that he \""apologized.\"" One cannot be \""sorry\"" for torturing and killing animals. As you know it's been proven that those with the ability to do so also have a stronger chance of being abusive to humans. How can we allow someone like that to be a role model for children? If we do we're degrading our society and shame on us. Patricia Reese of Paola, Kansas Yes, I think Mr. Vick should be allowed to play football again. He is a talented individual and it would be a shame to waste that talent. I also believe he should be able to rebuild his life. However, as part of his restitution to society, I believe he should contribute at least 40% of his salary for what could have potentially been his maximum jail sentence to the Humane Society to help abused and abandoned animals. Debbie Clayton of Greensboro, North Carolina He should never be allowed to play [in the] NFL or earn a dime associated with the NFL. He should be made to work so many hours per week, every week, at minimum wage at an Animal Shelter. Jeff Wise of Atlanta, Georgia Why not give him a chance to play again? Seriously how many chances has the NFL given to Ricky Williams? Smoking pot is against the law, but he's been given a number of chances, and STILL isn't banned from the NFL! Jeremy Montgomery of Mount Laurel, New Jersey I think that Vick should not be allowed to step on the field again and any endorsement deals revoked. What he did was reprehensible. He is in a spotlight where he should be held at a higher standard for a role model. Josh Hebert of Loganville, Georgia He should take whatever punishment our government gives him, but when he has done his time (if he does do time) he should be able to continue playing football. The charges against him are not football related in any way. Angela Ziegler of Cleveland, Ohio The NFL needs to \""step up to the plate\"" and be the man that Michael Vick is not. Allowing him in their league gives a signal that animal abuse is OK with them. Remember Jeffrey Dahmer started as an animal abuser! Want him as your role model or a spokesman? Kelly Koch of Holland, Michigan The NFL and all sponsors should refrain from any future contact with Michael Vick. I, for one, will boycott those with future dealings with him. John Robinson of Redmond, Washington Pro athletes are constantly getting in trouble with the law. Unless we make a policy that all players who are convicted of a felony are banned from the league, then Vick should be allowed to play after a suspension. Randy Jonson of Stamford, Connecticut Until I know the depth of the gambling angle it's hard to be certain. Dog fighting is brutal but if it's only dog fighting/killing, he should get whatever the feds give him and be able to return to""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0151,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,9959,"Context: ""WASHINGTON (CNN) -- The Supreme Court has given a girl's parents the go-ahead to sue a Massachusetts school district over alleged sexual harassment by another student.

A U.S. Supreme Court ruling allows a couple two avenues to pursue claims against their daughter's school district.

The justices, in a unanimous ruling, allowed the plaintiffs two avenues to make their claims -- a 1972 law banning gender bias in education and a separate civil rights law enacted 138 years ago.

Lisa and Robert Fitzgerald said their then-kindergartner daughter was forced by an older male student to lift her skirt or pull down her underwear. The parents alleged school officials ignored their concerns and refused to discipline the boy.

Federal courts had been split over whether the newer law -- known as Title IX -- displaced any claims made under part of the 1871 civil rights law, called \""Section 1983.\"" The Fitzgeralds lost their initial Title IX claims and an appeals court blocked them from pursuing the other legal strategy.

The ruling from the justices now gives the Fitzgeralds the right to continue their lawsuit against school officials.

\""We hold that Section 1983 suits based on the Equal Protection Clause remain available to plaintiffs alleging unconstitutional gender discrimination in schools,\"" Justice Samuel Alito wrote.

The plaintiffs allege the incidents happened on a school bus in Barnstable, Massachusetts, in the 2000-01 academic year. The child had told her parents that whenever she wore a dress, a third-grader would make her do things she did not want to do.

After the mother complained to school officials, the boy denied the allegations. The principal, after interviewing other students and the bus driver, concluded she could not corroborate the girl's version of events.

The principal suggested the girl be transferred to another bus as a possible solution. The Fitzgeralds said that amounted to punishing their daughter and said the boy was the one who should be transferred.

The local police department also looked into the case but concluded there was insufficient evidence to bring criminal charges against the boy.

The parents began driving the girl to school and filed a lawsuit, claiming the schools system's response was inadequate.

School officials denied wrongdoing and tried to limit the case to Title IX, which applies to public or private schools receiving federal aid. The law is credited, among other things, with helping bring equality in sports participation and funding for college women.

\""Our concern was that the school district just didn't take things as seriously as they should,\"" said Charles Rothfeld, attorney for the Fitzgeralds. \""They were frustrated by what they perceived as indifference by the school.\""

Rothfeld said the school's behavior was \""pretty egregious.\""

Barnstable school officials did not respond to a request for comment.

The case is Fitzgerald v. Barnstable School Cmte. (07-1125).""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0158,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,9893,"Context: ""WASHINGTON (CNN) -- Serving a 36-year-old government-issue cake at an Army retirement ceremony sounds like a classic bureaucratic mistake, but there was no mistake about it. Retiring Army Col. Henry Moak uses a vintage P-38 to break the seal on  government cake saved since 1973. Retiring Army Col. Henry Moak served it up himself -- at his own ceremony. Moak had saved the cake since 1973, when he got it while serving in Vietnam, and had long-standing plans to open it upon his retirement. Pound cake served in a can was standard fare in military C rations back then. Moak said it was his favorite, and he could not get enough of it. \""I would eat it any chance I could get, but not all of the meals came with pound cake,\"" he said before opening it. In front of friends and family who attended his retirement ceremony Friday at the Pentagon, Moak eagerly opened the can. Answering the question of whether the anticipation was the same now as back then, Moak said, \""Yes, even more!\"" \""I won't eat it if it's black and moldy,\"" he told onlookers. \""You can hear the pop of the air coming out,\"" he said referring to the vacuum seal on the can. To most people's surprise, the opened can revealed a still-edible yellow cake. The ceremonial sword used to cut Moak's real retirement cake was also used to dig into the can and cut out the cake. Moak took a bite and put up his thumb, \""It's good, it's still kind of moist,\"" he declared.""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0172,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,632,"Context: ""(CNN) -- \""For architects, perfection is necessary,\"" said Japanese architect Kengo Kuma. \""It is my mission to use the kindness and delicateness that old architecture had. I believe that this mission is not easy to complete. So I am planning to work until I fall down.\"" With nearly 60 projects on the go across the world, Kuma's search for perfection is all consuming; he rarely takes a day off from work and sometimes even finished projects are analyzed and amended. The 55-year-old from Tokyo has become synonymous with delicate simplicity and sensitivity to a building's surrounding. From the Great (Bamboo) Wall House located near the Great Wall of China outside of Beijing to the Suntory Museum of Art in Tokyo, Kuma has employed natural materials that complement a building's location to great acclaim. View the gallery of Kuma's spectacular buildings \""I try to catch the atmosphere of the place where we build the house. We try to find out how the people live there and what kind of materials they use. After we find out the atmosphere of the place, we will think how we can relate that with the architecture.\"" Using mostly glass and Chinese bamboo to make the house by the Great Wall, it comfortably blended into the natural surroundings, but the Suntory Museum of Art, completed in 2007 presented different challenges. \""Usually, a building in a massive developed area tends to be a sad building. However, I wanted to make a building which is warm and could feel a human's touch. To make that ideal building, I used natural material such as Japanese paper and paulownia [wood]. I wanted to take back the human element even if the building was inside the city.\"" Much of modern architecture is often unfairly portrayed as lacking that human element, but Kuma's focus on retrieving and remaining Japanese traditions in architecture has gone some way to dispel that myth. It is a far cry from his initial architectural fascination with concrete, in part inspired by the Olympic stadium designed by Kenzo Tange for the 1964 Games in Tokyo. \""I learned that architecture can impress people. If the Olympics were not held in Tokyo, I might not have become an architect,\"" he told CNN. If Tange's buildings for the Olympics were responsible for sparking Kuma's imagination, he's followed a different path in his career. After earning a master's degree in architecture from The University of Tokyo in 1979 and further study at Columbia University in New York, he returned to Japan in 1986 -- a boom time for architects. \""People who were only about 30-years-old could design a building. It was an era of post-modernism and a lot of young people were making outstanding buildings during that time.\"" But the economic recession hit Japan in 1992 and it had a profound impact on Kuma's life and changed his attitude to architecture. \""I didn't have a job in Tokyo for 10 years. I was designing small buildings in the countryside. I worked with a craftsman and studied how to use natural materials in those 10 years. From this experience, I learned the great aspects of Japanese traditional architecture. I started to design traditional Japanese architecture and foreign people took notice of the design,\"" he said. \""I think the cities of Japan are a bit damaged by the concrete buildings,\"" Kuma added. \""Because of the sub-prime issue and now another economic crisis, I feel this is again a good opportunity for architects to design buildings slowly.\"" In focusing taking a more holistic approach to his craft, Kuma has promoted the humanizing elements of architecture and its ability of improve people's lives. It's an approach that he has likened to making sushi. \""There are two important things to make sushi. One is the material and the other is the skill... For sushi, both the power of the material and skill is important and their balance is very important. \""I believe that this balance is what people want,\"" Kuma continued. \""People and society are seeking the thing like sushi""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0175,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,6541,"Context: ""Istanbul (CNN) -- Turkey's fiery prime minister ratcheted up rapidly-escalating tensions with Israel on Tuesday, comparing Ankara's once-close ally in the Middle East to a \""spoiled boy\"" and announcing additional sanctions would soon be imposed. 

\""We are completely suspending all of these, trade relations, military relations, related with the defense industry,\"" Recep Tayyip Erdogan said, according to the semi-official Anatolian Agency. \""All of these are completely suspended and other measures will follow this process.\"" 

Asked to clarify whether this meant Turkey will halt more than $3 billion in bilateral trade, an official in the Turkish prime ministry, speaking on condition of anonymity under government protocol, insisted Erdogan was not referring to trade relations. 

\""He was referring to the defense industry,\"" the official said. \""Nothing more than the measures that have been announced so far.\"" 

Last week, Turkey declared it was downgrading relations with Israel, suspending all military agreements between the two countries and giving senior Israeli diplomats less than a week to leave Turkish territory. 

\""If the current steps are regarded as 'plan B,' there will be a 'plan C,'\"" Erdogan said on Tuesday in his first public comments on the matter since Ankara imposed sanctions on Israel. 

Erdogan's government is incensed that Israel refuses to apologize or pay compensation for eight slain Turks and one Turkish-American. The humanitarian workers and activists were shot dead by Israeli commandos in a botched 2010 raid on an aid convoy that was trying to bust Israel's sea blockade of Gaza. 

But \""Israel does not want to see a further deterioration in the relationship with Turkey,\"" said a senior Israeli government official, who asked not to be identified because of the sensitivity of the issue. \""There have been a number of proposals on the table to prevent a deterioration and unfortunately they have not been successful, but from our point of view a deterioration in the relationship serves neither side's interests.\"" 

Multiple Israeli sources said they are doing what they can to be responsible and reverse the negative dynamic. Some Israeli officials believe the current troubles between the two countries are minor bumps that can be smoothed out with time and the proper diplomacy. 

Others believe the deteriorating relationship has little to do with Israel and more to do with a reorientation of Turkish foreign policy towards the Muslim world. 

A possible Erdogan trip to Gaza is contributing to that school of thought. Diplomats in Cairo and Ankara tell CNN that Erdogan is tentatively scheduled to visit Cairo next week. There is growing speculation in local media that the Turkish prime minister may try to visit Gaza via Egypt's Rafah border crossing. 

\""This is a process that will continue until the last moment,\"" Erdogan said Tuesday, according to Anatolian, when asked about a trip to Gaza. \""We will make the final decision there, talking to our Egyptian friends and brothers. According to that, there may be a trip to Gaza.\"" 

Despite deteriorating political relations between Jerusalem and Ankara, trade has grown substantially between the two countries over the last year, according to Turkish government statistics. 

On Monday, Stanley Fischer, governor of the Bank of Israel, gave a speech in which he highlighted the importance of Israel's economic ties with Turkey. He noted that Turkey's economy was the largest in the region, with a gross domestic product in excess of $700 billion, and that Turkey is becoming a key player in regional trade. 

Turkey is a significant Israeli trading partner, Fischer said, and damage to the trade relationship between the two countries could have serious consequences for Israel. 

Yigal Schleifer, Washington-based editor at Eurasianet and expert on Turkish-Israeli relations, argues the Middle Eastern \""outsider\"" status that once drew Turkey and Israel together into an alliance during the 1990s has changed, as Turkey has grown economically and established closer political ties with Arab neighbors. 

\""The paths have diverged,\"" Schleifer said. \""What you have left is two countries with different visions currently for their position in the region. So Turkey wants to build a more""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
run_0217,PENDING,Qwen2.5-3B,FP16,SUMM_SHORT,8502,"Context: ""NEW YORK (CNN) -- To understand how close Kanye West and his mother, Donda, were, one only needs to listen to his music. Donda and Kanye West, here during her book tour, were very close. He regularly made reference to her in his lyrics, discussing everything from her insistence that he receive a college degree to her unshakeable support of him when he ultimately decided to pursue a rap career. Donda West, who died at 58 over the weekend, appeared to be as tough as she was loving. On \""Can't Tell Me Nothing,\"" a track from his latest album, \""Graduation,\"" he rhymes about his mother's attempt to discourage him from spending money on jewelry and \""Louis V.\"" On \""Touch the Sky,\"" from his 2005 album, \""Late Registration,\"" he recalls how his mother drove him from Chicago, Illinois, to New York in a U-Haul van. (Read the obituary of Donda West.) She was also the inspiration for the song \""Hey Mama,\"" from the same album. \""I want to scream so loud for you/ because I'm so proud of you,\"" he rhymes. \""I know I act a fool/ but I promise you I'm going back to school/ I appreciate what you allowed for me and I just want you to be proud of me.\""  Watch how Kanye West is mourning his mother » Donda West was indeed proud. She regularly attended her son's concerts and often could be found dancing and rapping his more radio-friendly lyrics.  Watch Donda West talk about \""Raising Kanye\"" » At the MTV Video Music Awards in September, she and a gaggle of girlfriends were perched in the VIP section at a party for Rolling Stone magazine. As Kanye West whipped the crowd into a frenzy with hits such as \""Gold Digger\"" and \""Through the Wire,\"" his mom waved her hands in the air side to side and bobbed to the beats. When asked if her son would sell more records than 50 Cent (both rappers released their albums on September 11), she answered coyly. \""Good music will win out,\"" she said with a smile and a wink. (Her son's label is named Good Music.)  Gallery: Donda and Kanye » \""Graduation\"" would go on to trounce 50 Cent's \""Curtis,\"" debuting at No. 1 on the Billboard charts and selling more than 950,000 copies in its first week of release. Long before her son became an international superstar, Donda West was an English professor at Chicago State University. She stepped down as chairwoman of the university's English department in 2004 to manage her son's burgeoning career full time. The two collaborated on a book, \""Raising Kanye: Life Lessons From the Mother of a Hip Hop Star,\"" which was released in May. And most recently, she became the CEO of Super Good, the parent company of Kanye West Enterprises. She also was the chairwoman of the Kanye West Foundation, which, interestingly enough, is focused on keeping students from dropping out of school. E-mail to a friend""
Task: ""Write a concise summary of the context of about 32 words. Output only the summary."""
