row_id,task,story_bucket,summ_bucket,story_tokens,summary_tokens,answer_tokens,story,question,answer,summary,target_words
7659,QA,L_STORY,LONG,738,78,1,"Lagos, Nigeria (CNN) -- Nigeria's ailing President Umaru Yar'Adua, who gave amnesty to armed militants in the troubled oil-rich Niger Delta region, died Wednesday, the country's information minister said. He was 58. 

Yar'Adua had not been seen in public since November, when he went to Saudi Arabia for treatment of an inflammation of tissue around his heart. He was diagnosed with that condition, acute pericarditis, last fall after he complained of chest pain. 

He returned to Nigeria in February but had remained out of sight. 

Vice President Goodluck Jonathan has served as the country's acting leader since Yar'Adua fell ill. 

Yar'Adua took office in 2007 in an election mired in controversy and accusations of vote-rigging. 

""There was ballot snatching, voters were molested, voters were beaten ... and also payment inducement to vote for certain candidates,"" said Eneruvie Enakoko of the Civil Liberties Organization, a human rights group in Lagos. 

The president, a soft-spoken and unassuming figure who did not bask in the media spotlight like past leaders of the West African nation, pledged to fight to improve the country of 150 million people despite the accusations. 

""Our collective goal is to deliver for our children a Nigeria better, stronger, more peaceful, more secure and more prosperous than we met it,"" Yar'Adua said. 

President Barack Obama issued a statement late Wednesday expressing his condolences to Yar'Adua's family and the Nigerian people. 

""President Yar'Adua worked to promote peace and stability in Africa through his support of Nigerian peacekeeping efforts as well as his strong criticism of undemocratic actions in the region,"" Obama said in the statement. ""He was committed to creating lasting peace and prosperity within Nigeria's own borders, and continuing that work will be an important part of honoring his legacy."" 

His election followed wide support from his predecessor, leading critics to label him a puppet of the former president, Olusegun Obasanjo. 

After he was elected, Yar'Adua replaced some of Obasanjo's top officials, including the head of the army, a move analysts said was aimed at shedding off his predecessor's influence. 

One of Yar'Adua's biggest successes was offering amnesty to militants in the troubled oil-rich Niger Delta region, a move that brought fragile peace to the area after years of conflict. The well-armed Niger Delta rebels have been battling Nigeria's armed forces over oil profits, which they say are unequally distributed. 

While he has hospitalized in Saudi Arabia, the militants called off the truce, dealing a blow to plans to end violence that has crippled oil production in the nation. 

Analysts say he did little to institutionalize reform in a country where two-thirds of the population lives on less than a dollar a day. 

""Because many people feel disillusioned economically and as long as they have those sentiments -- I think the risk of radical uprisings in places like northern Nigeria and certainly southern Nigeria in the Delta will continue regardless of who is in power,"" said Rolake Akinola, an analyst at Control Risks West Africa. 

Yar'Adua, a former chemistry teacher, was married twice and has nine children. 

CNN's Faith Karimi and Christian Purefoy contributed to this report.",What year did Yar'Adua take office?,2007,"Nigeria's information minister says President Umaru Yar'Adua has died .
Yar'Adua had given amnesty to armed militants in troubled oil-rich Niger Delta region .
He went to Saudi Arabia in November for heart treatment .
Yar'Adua took office in 2007 in election mired in controversy, accusations of vote-rigging .",
7593,QA,S_STORY,LONG,431,66,4,"LOS ANGELES, California (CNN) -- Singer Chris Brown, sought by Los Angeles police after an alleged domestic violence incident, turned himself in Sunday, police said.

Chris Brown attends a party saluting music producer Clive Davis in Beverly Hills, California, on Saturday.

Brown, nominated for two Grammy Awards, was a no-show Sunday night at the nationally televised awards show. He was scheduled to perform at the show.  His girlfriend, singer Rihanna, abruptly canceled her planned Grammys performance, but neither her spokesman nor the show organizers gave a reason.

""Rihanna is well,"" her spokesman said in a written statement. ""Thank you for concern and support.""

Police have not identified the alleged victim, who they said ""suffered visible injuries and identified Brown as her attacker.""

Brown, 19, and Rihanna, 20, were seen together Saturday night at a pre-Grammys dinner at the Beverly Hills Hilton, about five miles from where police said the alleged incident happened at 12:30 a.m. Sunday.

The police statement said Brown and a woman were in a vehicle near Hollywood's Hancock Park when ""they became involved in an argument.""

""After stopping his car, Brown and the woman got out and the argument escalated,"" police said.

After receiving a 911 call at about 12:30 a.m. Sunday, officers found the woman at the scene of the alleged fight, but Brown had left, the department said.

Investigators were treating the incident as a possible felony battery case, police said.

Executives with Brown's record label at the Grammy Awards told CNN they knew nothing about the incident and declined further comment.

Brown was nominated for two Grammys this year, including in the best male R&B vocal performance category for his song ""Take You Down.""

He also shares a best pop collaboration with vocals nomination with Jordin Sparks for ""No Air.""

The introduction to the CBS broadcast of the Grammys, apparently pre-taped, listed both Brown and Rihanna as performers.",What is the name of Brown's girlfriend?,"Rihanna,","NEW: Police: Brown turned himself in after woman accused him of attacking her .
Brown a no-show at Grammy Awards, where he was to perform Sunday .
Brown, woman were in vehicle when alleged fight started, authorities say .
Police haven't named woman; Brown's girlfriend, Rihanna, cancels performance .",
7307,QA,S_STORY,LONG,718,69,7,"LONDON, England (CNN) -- The wife of an Iranian pro-reformist activist detained as he tried to leave the country last week says she is ""deeply concerned"" for his safety. Fatemah Shams and Mohammadreza Jalaeipour are students together at the University of Oxford. Fatemeh Shams told CNN she hadn't heard from her husband Mohammadreza Jalaeipour since she watched him being escorted away after he was prevented from boarding a flight to Dubai on June 17. Both are students at the University of Oxford and had been returning to the UK from Iran after attending a family wedding, just as demonstrations escalated following presidential elections earlier this month which have plunged Iran into political chaos. Shams said she and her 27-year-old husband -- both activists for the pro-reformist Third Wave campaign -- planned to leave Iran on June 17. At first, everything appeared fine with Jalaeipour having his passport stamped as he passed through immigration. But he was then approached by a plain clothes official who told him to turn off his cellphone before ordering Jalaeipour to follow him. ""We didn't get a chance to talk to each other -- I was watching what was happening and that was the last time I saw him,"" said Shams, 26, who flew to the UK via Doha in Qatar.  Watch Shams speak about her husband's detention » Shams said she hadn't heard directly from her husband since his arrest but believed he was being held in prison. ""It's a very difficult mental situation for me to understand what is going on and I am deeply concerned about his health and safety,"" she told CNN. Both Jalaeipour and Shams were members of the organizing committee of the Third Wave campaign, a reformist youth movement formed last year to back former president Mohammad Khatami's candidacy in this year's election. Following Khatami's withdrawal from contention, the Third Wave threw its support behind Mir Hossein Moussavi, who has disputed President Mahmoud Ahmadinejad's re-election, claiming that voting was rigged. In a recent interview with the Wall Street Journal Jalaeipour said he had advised Moussavi on using social-networking Web sites, such as Facebook, to reach young voters. ""Third Wave was a totally legal campaign with reformist tendencies that was trying to get young people involved in the elections,"" said Shams. ""We believed we should take part to make our country better and to have a better future. We were encouraging young people to not be indifferent about their country."" Shams said she thinks he may have been detained because of his political activities. ""Most of the activists who have been supporting the reformist candidate, all of them are in prison now. Why should the young people who want to do something for the sake of their country and their people, why are they in prison now?"" Shams said she planned to return to Iran herself if there was no change in her husband's situation in the next week or so. But she but admitted her own safety could not be guaranteed if she went back. Following more than a week of daily demonstrations in Tehran, Iranian security forces have been cracking down on protests and arresting activists including Ebrahim Yazdi, a former deputy prime minister who headed a group supporting increased freedom and democracy. Yazdi, who is 76 and has suffered prostate cancer, was later released. Moussavi and former president Khatami have sent a letter to Iran's courts urging them to release arrested activists and protesters.",Is Jalaeipour's wife concerned for his safety?,"she is ""deeply concerned""","Iranian activist detained at airport as he tried to leave country .
Wife says she is deeply concerned for Mohammadreza Jalaeipour's safety .
Fatemeh Shams says she hasn't heard from Jalaeipour since his arrest .
Couple are both activists for pro-Moussavi Third Wave campaign .",
5308,QA,S_STORY,SHORT,658,55,1,"BAGHDAD, Iraq (CNN) -- A female suicide bomber in northern Iraq targeted buoyant soccer fans who had just watched their national team win a big match against China, authorities told CNN. At least 29 people were wounded when the bomber detonated her suicide vest in a marketplace in the Diyala province town of Qara Tappa, a predominantly Shiite Kurdish town with a Shiite Turkmen population. Col. Ragheb al-Omairi, spokesman for Diyala Military operations command, who confirmed the account, said police on foot patrols were also in the area of bombing. Twenty-five civilians and four police were wounded, with at least 12 of the civilians in critical condition. The match, which Iraq won 2-1, was watched avidly across the country by Iraqis of all stripes -- united by their love of soccer. The game was part of the Asian qualifier for the 2010 South Africa World Cup, and Iraq and China are part of Group 1, along with Australia and Qatar. The match was played in China. The top two teams in the round advance to another stage of qualifying for the World Cup. Iraq eliminated China from competition and is in the running to advance. Celebratory gunfire also rang out across Baghdad, and the Baghdad Operations Command put an urgent message on state TV asking people to be careful and avoid shooting to celebrate. Prime Minister Nuri al-Maliki issued congratulations to the team, which last year won the Asia Cup. The bombing underscored the tensions that persist in a country where violence has dropped. Twenty females have carried out suicide bombings in Iraq this year, many more than in previous years. According to the U.S. military, women carried out eight bombings in all of 2007. Authorities said that al Qaeda in Iraq is recruiting women and that more women are offering themselves up for missions. The officials said the women are desperate and hopeless, most have pre-existing ties to the insurgency, and their main motive is revenge for a male family member killed by U.S. or Iraqi forces in the war. ""We do see certain members of cells attempting to persuade women, specifically in many cases wives of those who have been killed as terrorists, to conduct suicide operations,"" U.S. Maj. Gen. Mark Hertling said recently. His area of operations includes Diyala province. Hertling's troops have targeted families of suspected female bombers in a bid to break up the rings that are recruiting the women and girls. Intelligence gathered from detainees indicates that al Qaeda in Iraq is looking for women who are illiterate, who are deeply religious or who have financial struggles, often because they've lost the male head of the household. Women and girls always have played a role in the insurgency in Iraq, helping feed militants, hiding them in their homes and helping to sneak weapons around the country. They have proved to be highly effective in their operations, because women are not searched by men for cultural and religious reasons. The U.S. military has created a program called the Daughters of Iraq, analogous to the Sons of Iraq, across the Sunni regions of the country. The Daughters of Iraq are being trained to conduct searches of women. CNN's Jomana Karadsheh and Arwa Damon contributed to this report.",Who is targeted by insurgent recruiters?,women,"NEW: Attack strikes people celebrating Iraq team's win in World Cup qualifier .
29 wounded in predominantly Kurdish town in Diyala province .
Twenty female suicide bombings in Iraq this year, a sharp uptick .
Insurgent recruiters target troubled women, authorities say .",
3854,QA,S_STORY,SHORT,419,30,2,"(CNN) -- The body of Crown Prince Sultan bin Abdulaziz Al-Saud, the heir to the Saudi throne who died in New York on Saturday, arrived Monday in the Saudi capital, greeted by crowds of people, authorities and troops. 

The body was flown into Riyadh Air Base, according to two Saudi government officials. 

The death of Sultan, the half-brother of King Abdullah, raises succession questions in the key oil-producing country at a time of turmoil in the Arab world. 

Sultan was thought to be in his 80s. He had been ill for some time -- various reports indicated he was battling cancer -- and was receiving treatment in a New York hospital at the time of his death. 

His burial is scheduled for Tuesday, officials have said. 

Sultan had served for decades as the Saudi defense minister. President Barack Obama called him a ""valued friend"" of the United States. 

Ascension to the Saudi throne does not pass from father to son. Instead, it's a complex process, and decisions in the conservative kingdom are often cloaked in secrecy. 

King Abdullah set up the Allegiance Council in 2006 to allow for more transparency in the succession. It was unclear when the group, made up of members of the royal family, will be employed to make a decision on the next crown prince. 

Sultan's death leaves his brother Nayef, a reputed conservative, as the likely successor. Nayef has served as the Saudi interior minister since 1975 and oversaw the kingdom's counterterrorism efforts. 

Sultan took a leading role in Saudi Arabia's involvement in the 1991 Gulf War against Iraq, heading a coalition of about half a million troops from more than 30 countries. 

Abdullah left a hospital in Riyadh on Saturday following successful back surgery, the Saudi Press Agency reported. It was the third back surgery in the past year for the 87-year-old king. 

CNN's Mohammed Jamjoom contributed to this report.",When is the prince's burial?,"Tuesday,","The crown prince's burial is scheduled for Tuesday .
He died Saturday in a New York hospital .
His death raises succession questions for Saudi Arabia .",
8517,QA,L_STORY,LONG,813,62,2,"NEW YORK (CNN) -- With the weekend arriving and a long day finally over, 8-year-old Cherrie Mahan stepped off her yellow school bus on a chilly Friday around 4 p.m. Cherrie Mahan's third-grade school photo was used on her missing child flyers. The bus stop was about 100 yards from her home in rural Winfield Township in western Pennsylvania. But Cherrie did not make it to the hilltop trailer she lived in with her parents. She was never seen again. Investigators say her disappearance after the four mile ride home from elementary school on February 22, 1985, remains a mystery. ""It's like a black hole opened up and she fell in,'' said Cherrie's mother, Janice McKinney. She recalled that she and Cherrie's stepfather, Leroy, could hear the bus pulling up that day. Soon after Cherrie did not arrive, he went to the stop to look for her. ''He came flying back up because she wasn't there,'' McKinney said.  Watch what the girl's mom has to say » Cherrie, an only child, would soon be celebrating her 33rd birthday, but in the minds of many, she will always remain a missing girl. ""People still talk about it,'' said Trooper Frank Jendesky, the lead detective working on the case for the Pennsylvania State Police for the past 15 years. The driver and children riding the bus remember Cherrie getting off the bus with a few other students who lived nearby. One lingering detail has baffled investigators for years -- reports that a 1976 model van was following the school bus. The van, according to students, had a distinctive painted mural of a snow-capped mountain and skier wearing red and yellow clothes coming down the mountain. Despite many efforts, the van was never found and it remains unclear whether it holds a link to the puzzle. ''By now it's probably in a junkyard or somewhere,'' said Jendesky, who considers the case a kidnapping or abduction -- rather than a homicide -- because a body was not found. ""It's the not knowing that kills you,'' McKinney said. ''Every day you wonder and you look at some girl who's 33 and you wonder, 'Is that her?' I look at little kids and wonder, 'Is that my grandchild?' '' Over the years, police conducted hundreds of interviews and cleared several persons of interest, while the case file grew to more than 4,000 pages. Among his biggest frustrations, Jendesky said: ""The time lapse and a lot of the calls I've gotten over the years really had no relevance to the case.'' In the days before Amber Alerts and greater public awareness of crimes against children, McKinney said it took time before word of her daughter's disappearance became widespread. McKinney said Cherrie's case was included as a public service insert in a direct mail advertising campaign, one of the first times that approach was taken. Cherrie was especially close with McKinney's parents. She described how the girl would lovingly mimic her grandfather's daily morning walk in the garden with his hands cupped behind his back. Hanging in McKinney's dining room is a picture Cherrie drew of a rainbow, trees, birds and clouds. It says ""Mom and Dad."" ""I have more memories of my daughter than most people get in a lifetime,'' McKinney said, remembering that Cherrie loved the children's character Strawberry Shortcake, enjoyed spelling and wanted to be an elementary schoolteacher. The day Cherrie went missing she was bringing home annual school pictures. That photo and the girl who never made it home with it became known to many on missing posters distributed across the nation. ""She was one heck of a special kid,'' McKinney said. ""And there's somebody out there that knows. And I hope that someday they have a conscience and they'll let us know. Because that's all I pray for, is to have an answer.'' Anyone with information on",What year did the third-grader disappear?,"1985,","Third-grader disappeared in February 1985 .
Police looked for, but never found van with mural of skier .
Cherrie Mahan's missing person flyer was one of first sent by direct mail .
Know something? Call the Pennsylvania State Police at (724) 284-8100 .",
7916,QA,S_STORY,LONG,576,70,6,"MARDAN, Pakistan (CNN) -- Inside a hospital ward in northwest Pakistan, I found myself surrounded by sobs and screams. One scream was so high-pitched that I didn't think it was human. These were the sounds of agony, and they belonged to innocent civilians who were injured in the cross fire of Pakistani troops and the Taliban in the Swat Valley. CNN's Reza Sayah with Shaista, who lost most of her family in an explosion as they fled fighting. Behind each cry at this ward was a story of loss. Doctors told me no one here had lost more than Shaista, an 11-year-old girl who watched as an explosion instantly killed most of her family. Shaista and her family were among hundreds of thousands of people who fled Pakistan's Swat Valley on the day the Pakistani Army launched an all-out offensive against the Taliban.   She says she was walking along a road with her family when a mortar shell suddenly fell from the sky. ""We were coming,"" Shaista told me, ""then my mother died, my brother died, and my two sisters also died.""  Watch Reza Sayah's interview with Shaista » Doctors said the explosion shattered Shaista's foot. Moments later she passed out. The next time she woke up she was in the female orthopedic ward of the GHQ Hospital in Mardan.   Doctors said Shaista will recover from her shattered foot, but the trauma of losing a family will last a lifetime. ""She kept saying it all happened in front of me,"" said Salma Shaheen, a nurse. ""She said something fell on top of my mother and she got cut in half."" It was clear that Shaista had won over the hearts of the doctors and nurses who said that they, in three days, had treated more than 800 civilians injured in the battle zone. Like many hospitals in northwest Pakistan, this one was under equipped. To hold an elderly woman's broken leg together, doctors had made a make shift traction using a brick, a plastic shopping bag and rope.  Watch Reza Sayah's report from inside the hospital » Shaista said her father is missing. Her only guardian is her uncle, Muhammad Sher, who found Shaista after searching area hospitals. ""I'm just going to tell her, 'you're my daughter,'"" said Muhammad. ""I'm going to educate her, teach her the Koran and do what I can for her."" Sixty miles away from the hospital, the battle between Pakistani troops and the Taliban raged on. On Wednesday General Athar Abbas, the army's top spokesman, told CNN the troops were making significant progress but the most intense stage of the fighting in the battle zones' most populated areas was still to come -- a near guarantee of more sobs and screams at area hospitals.",Where did Sayah meet Shaista?,"hospital ward in northwest Pakistan,","CNN's Reza Sayah meets Shaista in a crowded hospital in northwest Pakistan .
Shaista's family among hundreds of thousands of people fleeing fighting .
Shaista says they were walking on a road when a mortar fell from the sky .
The girl's uncle finds her in the hospital; doctors say her shattered foot will recover .",
3572,QA,L_STORY,LONG,861,68,4,"(CNN) -- Striker Carlos Tevez has been suspended by Manchester City after the furore surrounding his non-appearance from the substitutes' bench during the 2-0 Champions League defeat at Bayern Munich on Tuesday. 

City manager Roberto Mancini slammed the Argentine international following his team's loss at the Allianz Arena, claiming Tevez had refused to take to the pitch and would consequently not play for the club again. 

And, although Tevez subsequently released a statement denying the claims, City have now confirmed that the player will be suspended for the immediate future. 

A statement on City's official website read: ""Manchester City can confirm that striker Carlos Tevez has been suspended until further notice for a maximum period of two weeks. 

""The player's suspension is pending a full review into his alleged conduct during Tuesday evening's 2-0 defeat to Bayern Munich. 

""The player will not be considered for selection or take part in training whilst the review is under way."" 

Earlier on Wednesday, former Manchester United forward Tevez rejected Italian coach Mancini's claims and said the incident was a ""misunderstanding."" 

""I would like to apologise to all Manchester City fans, with whom I have always had a strong relationship, for any misunderstanding that occurred in Munich,"" read the statement from Tevez. 

Tevez tantrum is a disgrace to soccer 

""They understand that when I am on the pitch I have always given my best for the club. In Munich on Tuesday I had warmed up and was ready to play. This is not the right time to get into specific details as to why this did not happen. But I wish to state that I never refused to play. 

""There was some confusion on the bench and I believe my position may have been misunderstood. Going forward I am ready to play when required and to fulfil my obligations."" 

The statement is in contrast to Tevez's remarks immediately after the match, when he appeared to reaffirm his desire to leave City. 

""I think it's Mancini's decision. I've been a professional throughout,"" he told British broadcaster Sky Sports through a translator. ""I put my opinion through, that I wanted to leave for family reasons and I still played my best."" 

Gomez double gives Bayern 2-0 win 

The fixture in Europe's premier club competition was set to be a landmark occasion for City; whose clash with four-time European champions Bayern represented their first away match in the tournament. 

But the match unravelled for City, who won the English FA Cup last season, when Germany striker Mario Gomez grabbed two goals in the closing stages of the first half. 

Tuesday's controversy is the latest development in a saga which has seen Tevez move close to an exit from the Etihad Stadium on several occasions. 

The former Corinthians striker handed in a transfer request in December 2010, citing a breakdown in communications with the City board as the reason behind his decision. 

It looked as if Tevez was set for a return to Sao Paulo-based Corinthians in July, but the four-time Brazilian champions claimed there was insufficient time to conclude the deal. 

City have signed a host of attacking players in 2011, including the capture of Dzeko from Wolfsburg in January and the additions of Sergio Aguero from Atletico Madrid and France midfielder Samir Nasri from Arsenal in the last transfer window. 

As a result, Tevez has struggled to break into City's starting line-up so far this season and has seen defender Vincent Kompany replace him as club captain. 

""He wanted to leave last year,"" former Inter coach Mancini told a press conference on Tuesday. ""I helped him for two years every time. He refused to play. I cannot accept this behaviour from him. I decide the substitutions, not Carlos. 

""Do you think at Bayern Munich one player can play like this? Or Milan or Manchester United? No. There were 30 minutes to the end. There was time to change the game.""",who has been suspended for two weeks,Carlos Tevez,"Striker Carlos Tevez has been suspended for two weeks by Manchester City .
The suspension follows his non-appearance from the bench against Bayern Munich .
Tevez earlier issued a statement denying that he had refused to play when asked .
City coach Roberto Mancini has said Tevez will never play for the club again .",
6952,QA,S_STORY,SHORT,237,27,4,"LONDON, England (CNN) -- A massive fire engulfed the four-story offices of a major film company in central London on Friday, sending clouds of white smoke over the city skyline, the London fire department said. Streets in London were cordoned off while firefighters tackled the blaze. Two firefighters were taken to the hospital with minor injuries as a result of the blaze in the Future Films building on Dean Street in the city's Soho district, London ambulance services said. The London Fire Brigade dispatched 12 engines and 55 firefighters to battle the fire, which began before 2 p.m. (9 a.m. ET). As a result, an adjacent street -- the W1 -- has been closed to traffic and pedestrians. When reached by CNN, Future Films founder and managing director Stephen Margolis had no comment about the fire. Future Films has been involved in the production of more than 120 films since Margolis created the company in 2000, including ""Bend it like Beckham"" (2002), ""The Importance of Being Earnest"" (2002), and ""Transsiberian"" (2008). CNN's Per Nyberg and Laura Perez Maestro contributed to this report.",What were sealed off?,Streets in London,"Streets sealed off around London blaze .
Smoke seen billowing over British capital .
Soho a popular nightlife district .",
5009,QA,S_STORY,SHORT,277,51,3,"A Nigerian politician has been arrested for trying to smuggle almost five pounds of cocaine in his stomach in a scheme to finance his election campaign, authorities said Monday. 

Eme Zuru Ayortor, a 52-year-old pharmacist and a hopeful for Nigeria's Edo State House of Assembly, was arrested at the international airport in Lagos, drug officials said. 

Officials became suspicious of the politician when a scanning machine in the airport revealed that he was carrying 2.120 kilograms (4.7 pounds) of cocaine in his stomach, according to the National Drug Law Enforcement Agency. 

Ayortor was trying to fly to Frankfurt, Germany, the agency said. 

""After undergoing observation, the pharmacist turned politician excreted 100 pieces of powdery substance that tested positive to cocaine,"" the agency said in a statement. 

""Preliminary check on him revealed that he was preparing himself financially for the forthcoming election into the Edo State House of Assembly."" 

The suspect told authorities that he was hoping his status as a politician would help him avoid being arrested. 

""We do not look at faces in conducting drug screening and we are not moved by credentials. Whoever is dealing in narcotics shall be exposed and prosecuted,"" said Ahmadu Giade, chairman of the Nigerian drug agency.",What was the smuggler trying to finance?,"election campaign,","Nigerian politician tried to smuggle almost five pounds of cocaine in his stomach .
Authorities said he was trying to finance his election campaign .
Eme Zuru Ayortor told officials he thought his status as politician would help him avoid arrest .",
