row_id,task,story_bucket,summ_bucket,story_tokens,summary_tokens,answer_tokens,story,question,answer,summary,target_words
6020,SUMM_SHORT,S_STORY,SHORT,733,45,3,"Editor's note: CNN.com has a business partnership with CareerBuilder.com, which serves as the exclusive provider of job listings and services to CNN.com. You may think you have the worst boss in the Western Hemisphere, but if you've never had to dodge a cell phone, been fired over a breakfast pastry or had your work referred to as ""a complete and utter mess,"" you probably have it better than you realize. Consider the following celebrities, whose poor underlings withstood verbal and sometimes physical abuse and lived to tell about it: Scott Rudin The high-profile film producer, whose film credits include ""The Queen,"" ""The Royal Tenenbaums"" and ""The Firm,"" is infamous for his hot temper and verbal rants. The Wall Street Journal once claimed he has fired 250 personal assistants, sometimes for offenses as minor as bringing him the wrong breakfast muffin. (Rudin claimed the actual number is closer to 120; however, he wasn't counting those who didn't survive his grueling two-week trial period.) Despite Rudin's reputation, however, being his personal assistant remains one of the most coveted jobs among wannabe movie moguls. Naomi Campbell Campbell is to her employees what fireworks are to the average person: If not handled carefully, she may cause bodily harm. In early 2007, the British supermodel pleaded guilty to misdemeanor assault for hitting her housekeeper with a cell phone over a pair of missing jeans. Campbell insisted the incident was an accident, but a history of similar events -- including a 2000 guilty plea for assaulting a personal assistant on a movie set in 1998 -- indicates otherwise. Simon Cowell It's no secret that the mastermind behind ""American Idol"" has notoriously high standards, nor does he apologize for them. In fact, Cowell, who is known for finding new and creative ways to insult everyone from contestants to ""Idol"" host Ryan Seacrest, seems to relish his reputation as the judge everyone loves to hate. And why not? After all, it is his famously prickly personality that has helped make him a household name. Al Capone Alphonse ""Al"" Capone's name is synonymous with organized crime. He was as well-known for his involvement in illegal gambling, bootlegging and prostitution as for his brutality. His own men were behind 1929's infamous ""St. Valentine's Day Massacre."" In 1931, Capone finally went to prison for income tax evasion and was released -- ironically, for good behavior -- after serving eight years in federal prisons. Afterward, Capone retired to his estate in Florida, where he died in 1947 of heart failure. Leona Helmsley The recently-deceased Manhattan hotelier will go down in history as the ""Queen of Mean,"" a nickname she earned as a result of her erratic behavior and hasty firing of employees. After serving time for tax evasion in 1989 (""Only the little people pay taxes,"" was her infamous defense), Helmsley again brushed with the law in 2004 when a court ordered her to pay a former landscaper for breach of contract (Helmsley had abruptly fired the man after finding out he was gay). Gordon Ramsay The hot-tempered (pun intended) host of ""Hell's Kitchen"" could give Simon Cowell a run for his money as the cruelest judge on TV. Neither holds back when it comes to doling out criticism, but Ramsay steps it up a notch with slightly more colorful language. In fact, his fondness for four-letter words is matched only by Cowell's fondness for tight black T-shirts. E-mail to a friend",What super model is named in this article?,Naomi Campbell,"One high-profile film producer has fired hundreds of personal assistants .
Naomi Campbell's treatment of her employees has landed her in court .
And would you really want to answer to Simon Cowell or Al Capone?",32
1535,SUMM_SHORT,L_STORY,SHORT,811,49,6,"(CNN) -- Authorities have identified both people who died after being swept away by fierce waves churned up by Hurricane Bill on the East Coast. Tourists watch waves crash ashore at Acadia National Park in Maine on Sunday. Clio Axlerod, 7, of New York, died after a wave knocked her and six other people into the Atlantic at Maine's Acadia National Park on Sunday, Park Chief Stuart West said. Of the other six who were swept from that park into the ocean, four made it back to shore on their own. Two -- Axlerod's father, Peter Axlerod, 55, and Simone Pelletier, 12, of Belfast, Maine -- were rescued by the Coast Guard, he said. The victims were among several thousand people who were at the park late Sunday morning to watch the high waves that Bill -- then a Category 1 hurricane -- was producing. iReport.com: See photos shot before tragic wave incident The people knocked into the water were on a rock cliff about 20 feet above the sea, West said. A wave struck at about 11: 50 a.m., pushing water onto the ankles of some of the people standing on ""top of what we think would be a safe area,"" West said. People started to turn back, but then they were hit by a larger wave, which sent the seven into the sea, West said. Some people were taken to a hospital with broken bones or other injuries, according to Sheridan Steele, the park's superintendent. A witness, Mary Ellen Martel of Maine, said that before the seven were swept into the ocean, people were clapping and laughing when the wind would bring the spray over. ""It was a very festive atmosphere,"" Martel said in a telephone interview. ""It was a warm, sunny day and everyone was just enjoying the show that Mother Nature was offering, but not everybody knows to stay away from the edge -- or way, away from the edge."" Martel, who had come to the park with her husband, said she feels ""pretty certain"" she had been on the same ledge as some of the victims who were swept to shore. Martel had stood far enough back that the first wave did not affect her much, but when she saw the second coming, she turned her back to protect a camera she had. She was doused from her shoulders down, and she went for the road that led away from the area, she said. ""When I looked [back], everybody was scrambling to get off the ledge,"" she said. Angel Rosa, 54, had come with family to Bethune Beach, one of Volusia County's 40 miles of beaches, Petersohn said. Although lifeguards had warned people not to go in the water because the offshore wind built waves to between 10 and 13 feet tall, Petersohn said, he suspects that's exactly why Rosa was in the water. ""I have a feeling he probably came over to body surf these huge waves,"" he said. He added that such waves come along only every few years. Rosa entered the water Saturday afternoon with a group, but was separated from them, Petersohn said. His fellow swimmers reported Rosa missing, he said, and as rescue teams were mobilizing, beach patrol received an emergency call that a man had been dragged to shore a half-mile away. Petersohn said Rosa might have suffered some kind of trauma that contributed to his drowning. Emergency personnel treated three spinal injuries during the weekend, Petersohn said, as the tough waves slammed swimmers into the bottom. An autopsy report on Rosa is expected in coming days. ""It's very unfortunate that this happened, and everyone feels terrible about it, but it's not something I'm surprised about,"" Petersohn said. ""As big as the surf was, as treacherous as it was, it doesn't surprise me."" Bill was downgraded to a tropical storm and then to an unnamed storm Monday as it headed into the northern Atlantic. The storm was expected to be in the British Isles",What is the identity of the girl found?,"Clio Axlerod,","Girl who died after being swept into Atlantic Ocean off Maine identified .
Bill, a Category 1 hurricane Sunday, downgraded to unnamed storm Monday .
Two other people rescued after being swept into ocean .
Man died Saturday in surf off Florida .",32
1411,SUMM_SHORT,L_STORY,SHORT,828,46,9,"(CNN) -- Armenian President Robert Kocharian declared a state of emergency Saturday night after a day of clashes between police and protesters, a spokeswoman for the Armenian Foreign Ministry said. Opposition supporters wave an Armenian flag during a protest rally in Yerevan, Armenia, on Saturday. The protesters claim last month's presidential election was rigged. The state of emergency will ""hopefully bring some order"" to the capital, Yerevan, said Salpi Ghazarian, assistant to the Armenian foreign minister, who spoke to CNN early Sunday. The state of emergency could last until March 20, she said, but the government hopes ""that it will be lifted sooner."" The clashes began when authorities used force to clear Freedom Square of thousands of demonstrators who had camped there for the past 10 days, according to a U.S. Embassy official. Ghazarian said the authorities ""moved in"" because ""they thought that there were arms there, and it turned out that they were right.""  Watch a report on clashes between police and the opposition » The embassy official estimated that the demonstrations in Freedom Square grew to as many as 60,000 Armenians at times over the last 10 days. As of early Sunday morning, Freedom Square was empty, Ghazarian said, but the protesters were demonstrating in a main square elsewhere in the city.  Watch Ghazarian discuss the situation in Armenia » ""What is happening on the streets of Yerevan is people protesting what they consider to be unfair elections,"" Ghazarian said. ""After the president was forced to declare a state of emergency, things have quieted down. There are a couple of burning cars, and there are a few hurt people,"" she said. ""We're convinced that this will come to an end soon."" She did not elaborate on the number of people injured or the extent of their injuries. Witnesses told CNN that Saturday morning's action by Armenian riot police was bloody, but the U.S. official said there were no confirmed deaths or serious injuries. An Armenian woman interviewed by CNN said there was ""huge chaos"" when police moved in. ""These are innocent people,"" she said. ""They just want their freedom. They just want to be heard. They are being beaten up, some people have horrible wounds."" She asked that CNN not use her name because she feared for her safety. As night fell Saturday, the sounds of gunfire could be heard from the direction of the protesters' gathering, and tracer fire could be seen in the sky, according to another Yerevan resident, who also asked not to be identified out of fear for his safety. The man said his wife saw two demonstrators hit by a police car earlier in the day. The car initially did not stop, he said, but the protesters surrounded the car, dragged the officers out and burned the vehicle, he said. The officers were able to escape, he said, but he did not know the condition of the protesters who were struck. The protests began soon after the February 19 presidential election. Opposition presidential candidate Levon Ter-Petrosian lost to Prime Minister Serzh Sarkisian, a political ally of outgoing President Kocharian. The opposition party immediately accused the government of vote fraud and demanded that the results be voided. Ghazarian said Sunday that the government had reached out to the opposition. ""We are hoping with the help of the international community, the opposition, the leader of the opposition, will come and enter a political dialogue rather than continuing this debate on the streets,"" she said. Haroutiun Khachatrian, editor of the Noyan Tappan News Agency, told CNN that riot police arrested several hundred people in the square Saturday morning, including many opposition party officials. Ter-Petrosian was there but was not arrested, he said. The opposition vowed to pursue its claims through legal means. The Organization for Security and Co-operation in Europe (OSCE) monitored last month's Armenian election and concluded that it was mostly in line with international standards, although it did include some criticism in its report. The U.S.",What do the demonstrators say?,claim last month's presidential election was rigged.,"NEW: Protest moves after crackdown at Freedom Square .
Order sought after protests over last month's election turn violent .
Demonstrators say the election was fraudulent .
State of emergency could last until March 20, official says .",32
3752,SUMM_SHORT,S_STORY,SHORT,216,39,5,"(CNN) -- The Rev. Billy Graham, the 88-year-old legendary Christian evangelist, was hospitalized in North Carolina early Saturday for evaluation and treatment of intestinal bleeding. Evangelist Billy Graham speaks at the Billy Graham Library dedication on May 31, 2007, in Charlotte, North Carolina. He was admitted to the Mission Health and Hospitals in Asheville, North Carolina, near his home in Montreat, and is listed in fair condition, a hospital spokesman said in a written statement. ""Mr. Graham's physicians said the illness does not appear to be life-threatening, as Mr. Graham's condition had stabilized over the hours following admission and treatment. ""An upper endoscopy and a bleeding scan showed no areas of bleeding in the gastrointestinal tract. The physicians say the bleeding may have come from diverticuli, small pouches that can form in the lower intestine. These may become irritated and bleed. A diverticular bleed often begins suddenly and may stop on its own."" Graham's wife, Ruth Bell Graham, died in June. E-mail to a friend",who is in fair condition?,"Rev. Billy Graham,","Christian evangelist Graham, 88, in fair condition .
Admitted to Mission Health and Hospitals in Asheville, North Carolina .
Physicians say the bleeding may be diverticulitis .",32
4627,SUMM_SHORT,S_STORY,SHORT,352,53,7,"(CNN) -- You had a close encounter with a 40-yard-wide asteroid this week, but the astronomer who first spotted the large rock said it's nothing to worry about. An asteroid (inside circle) passed within 38,000 miles of Earth on Monday. Asteroid 2009 DD45 on Monday passed within 38,000 miles of Earth, less than twice the height of the geostationary satellites we depend on for communications, according to Robert McNaught of the Australian National University. McNaught, who watches for asteroids with his telescope 250 miles northwest of Sydney, Australia, discovered the approaching rock last week. ""It's not something to worry about, but something to be aware of,"" he said. While a direct hit on Earth could be a devastating natural disaster, McNaught said keeping track of asteroids can make a hit ""potentially preventable."" ""If discovered in advance and with enough lead time, there is the possibility of pushing it off course, if you have decades of advance warning,"" McNaught said. ""If you have only a few days, you can evacuate the area of impact, but there's not a great deal [else] you can do."" In either case, he said, a global catastrophe as depicted in Hollywood movies such as ""Deep Impact"" is ""very, very unlikely."" The 2009 DD45 asteroid circles the sun every 18 months, but its path will not threaten this planet at least for the next century, he said. The number of ""potentially harmful asteroids"" discovered each year has grown dramatically over the past decade as ""systematic programs"" to scan the skies have been put in place, McNaught said. Nearly 100 new ones have been found in each of the past several years, he said.",From where did Robert McNaught spot the asteroid?,"38,000 miles of Earth,","Asteroid passes within 38,000 miles of Earth on Monday, an astronomer says .
The 40-yard-wide rock was nothing to be worried about, he says .
Asteroid was spotted by Robert McNaught through his telescope in rural Australia .",32
8759,SUMM_SHORT,L_STORY,SHORT,884,50,2,"PARIS, France (CNN) -- Truly appreciating the beauty of Paris is a pleasure that can't be hurried. Stop, breathe, appreciate and perhaps kiss in the romantic city of Paris. Take time to wander down its wide boulevards, savour every sip of strong, black coffee and resist the temptation to fall into step with the throng of tourists and sightseers. Our advice to anyone who finds themselves with 24 hours to spare in the French capital is to stop, breathe, appreciate and indulge. Start the day with a walk down the Champs-Élysées. For some, it retains the title of the world's most beautiful avenue. For others, the road's historical charm has been blighted by the arrival of global brands, traffic and tourists. Sunrise offers the history without the hurry. Take a leisurely stroll down its expansive pavements and look up for impressive architecture without fear of bumping into shoppers. Treat yourself to breakfast at one of Paris' oldest tea salons. Ladurée was founded as a family business in 1862 and now appears in luxurious locales in London, Monaco, Switzerland and Japan. The original, Ladurée Royale on Rue Royale, doesn't open until 8:30am (and later on Sundays), so for early morning pastries drop into the Champs-Elysees store which opens at 7:30am every day. The queues at Paris' most famous art gallery, the Louvre, are notorious so impatient visitors are advised to go to the Musée de l'Orangerie, set in the historic Jardin des Tuileries. You won't see the Mona Lisa, but the gallery does boast a collection of Claude Monet's Water Lilies. The queues are shorter the earlier you go and to really beat the crowds pre-book your time slot online. Head north to have your own images sketched by street artists in Montmartre, a former stomping ground for famous names including Salvador Dali, Claude Monet, Pablo Picasso and Vincent van Gogh. Drop into the Basilique du Sacré Coeur to pray, light a candle or simply enjoy the spectacular views over Paris. From there, visit Rue Lepic where you will find Café des Deux Moulins, where actress Audrey Tautou waited tables in the 2001 film ""Amélie."" Note that when you ask for a coffee in France, you'll automatically receive a black espresso. If you'd like something bigger and milkier, ask for a café au lait (already popular elsewhere) or café Americain (filter coffee) with milk (lait). Further down Rue Lepic you'll find Au Virage Lepic, a quaint bistro dripping in traditional Parisian atmosphere. It's usually crowded with locals so book in advance. Getting around is easy in Paris. Take a bus or the Metro or join the legion of cyclists on hugely popular Vélib rental bikes. Pick up your own bike at one of the service points scattered around the city. You'll need a credit card to register for a one-day subscription, or to speed up the process pre-book a one-day ticket online. It'll cost you one euro and the first 30 minutes of every journey for the next 24 hours is free. After than, any additional time will be charged to your credit card until you return the bike to any stand in the city. In the afternoon, walk -- or cycle -- down Boulevard Saint-Germain on the historic Left Bank. Discover your inner intellectual over a coffee or dinner at Les Deux Magots, a former meeting place for Paris' great literary minds including Simone de Beauvoir and Jean-Paul Sartre. From Boulevard Saint-Germain, walk down Rue Saint-Sulpice, past Saint-Sulpice, a striking church founded in the 1646 and brought to a new audience as one of the buildings featured in Dan Brown's best-selling novel (and subsequent film) ""The Da Vinci Code."" Wander further on to Rue de Sèvres where you can batter your credit card with some upmarket shopping at Le Bon Marché and La Grand Epicerie. In the evening, soak up some Parisian chic at the De La Ville Café on Boulevard Bonne Nouvelle, or indulge in the",What is the name of the city?,Paris.,"It's difficult to truly appreciate Paris with one eye on your watch, so slow down!
Wander through its historic areas, still popular with artists and intellectuals .
Treat yourself to breakfast at Ladurée, end the day with champagne .",32
4012,SUMM_SHORT,L_STORY,SHORT,818,41,1,"(CNN) -- The mother of Lisa Irwin, an 11-month old Missouri girl missing for nearly two weeks, said in an interview she was drunk the night the infant disappeared. 

Deborah Bradley made the admission during an NBC interview, portions of which were aired Monday on ""Today."" 

She also said she last saw Lisa at 6:40 p.m. October 3, when she put the girl to bed, not at 10:30 p.m., as initially believed. 

Lisa was reported missing at 4 a.m. October 4, after Lisa's father, Jeremy Irwin, came home from work to find the door unlocked, lights on and a window that had been tampered with at the family's Kansas City home. 

Bradley told NBC she is afraid she will be arrested. Police have accused her of killing Lisa, she said, and told her that she failed a lie detector test, with deception indicated when she was asked where Lisa was. 

""I was the last one with her,"" a tearful Bradley said in the interview. ""And from judging on how the questioning went, that's kind of a fear that I have. And the main fear with that is, if they arrest me, people are going to stop looking for her. And then I'll never see her again, and I'll never know what happened."" 

Asked how much she had been drinking that night, Bradley said, ""enough to be drunk."" 

But she rejected the notion that she could have harmed her daughter while under the influence of alcohol. 

""No, no, no,"" she told NBC. ""And if I thought there was a chance, I'd say it. No. No. I don't think alcohol changes a person enough to do something like that."" 

She said it's ""terrible"" that police may be focusing on her. ""My daughter is missing,"" she said. ""The last thing that I want to have to worry about is something like that. I shouldn't have to put any energy, any time or effort, into anything but finding her."" 

Asked whether he had questions about Bradley, Irwin told NBC, ""No. There's no question to be had there. I know who she is. I know the kind of mother she is."" 

He said it's possible someone could have entered the house without Bradley hearing, as the couple's bedroom is on the opposite corner of the house from Lisa's room and Bradley sleeps with a fan at high speed. 

Police have said three cell phones were also missing from the home along with Lisa. 

On Sunday, Missouri Gov. Jay Nixon ordered the one-day deployment of 25 National Guardsmen to help search for Lisa. 

Two anonymous benefactors have offered a $100,000 reward for Lisa's safe return, according to Bill Stanton, a private investigator working with the family. 

Irwin and Bradley told NBC they have refused to let authorities re-interview Lisa's older brothers. 

""They said they heard noises (the night Lisa disappeared),"" Bradley said. ""I don't know if that was before we went to sleep or after."" She said she has not talked to her sons about it because she is reluctant to put them through ""anything else."" 

Asked what she would say to someone who might be holding Lisa, Bradley told NBC, ""She needs her family, and we need her. We're losing more sanity as each day progresses."" 

Lisa is described as being 30 inches tall with blue eyes and blond hair, according to police. She weighs between 26 and 30 pounds and was last seen wearing purple shorts and a purple shirt with white kittens on it. 

The missing girl has two bottom teeth and a ""beauty mark"" on her right outer thigh, police said. At the time of her disappearance, she had a cold with a cough.",What news channel did she make the admission to?,NBC,"Deborah Bradley made the admission in an interview with NBC .
She says she last saw Lisa four hours earlier than the time initially given .
Bradley says police have accused her of killing her daughter .",32
4091,SUMM_SHORT,S_STORY,SHORT,465,48,2,"(CNN) -- The search for the data and voice recorders from the Air France plane that crashed more than a month ago off Brazil's coast is entering a new phase, according to France's accident investigation agency. Searchers have discovered hundreds of pieces of wreckage from Air France Flight 447. All 228 people aboard the plane were killed in the June 1 crash. The flight data recorder and the cockpit voice recorder, commonly known as black boxes, stop giving out acoustic broadcasts after 30 days. But investigators decided to continue listening for the ""pings"" for 10 days after that. Now, the two U.S. naval vessels and a French Navy submarine will halt their search for the recorders which investigators hope will shed light on exactly how the plane crashed. The second phase of the search will involve France's oceanographic ship ""Pourquoi Pas?"" which carries specialized exploration and intervention vehicles, according to the French air accident investigation agency known as the BEA. The French vessel will conduct new searches using diving equipment and towed sonar, the BEA said. Finding the recorders is of ""capital importance,"" and ""no effort must be spared in achieving this end,"" Air France has said. ""We want to stress that for the sake of the families, we hope that the search for the black boxes will be successful,"" an Air France representative said. This month, investigators revealed that the plane bellyflopped intact into the Atlantic Ocean. Investigator Alain Bouillard said it was still not clear what caused the crash, the deadliest in Air France's 75-year history. The mountainous ocean floor in the search area ranges from 3,280 to 15,091 feet, BEA officials have said, making the search for the recorders -- and the rest of the plane's debris -- difficult. ""It is as if it fell in the Andes,"" said Olivier Ferrante, chief of the BEA search mission. Flight 447 went down in stormy weather while flying from Rio de Janeiro, Brazil, to Charles de Gaulle Airport in Paris, France. Brazil called off the search for bodies June 27, having found 51 of the 228 people who died, according to the military. Investigators have also found more than 600 parts and structural components of the plane, along with luggage, Bouillard said.",WHat date did a plane go down off Brazil?,June 1,"Plane went down off Brazil on June 1, killing all 228 aboard .
Voice, data recorders stop broadcasting after 30 days .
Investigators planned to keep listening for 10 additional days .
French oceanographic ship will conduct new searches .",32
9214,SUMM_SHORT,S_STORY,SHORT,205,46,1,"TEHRAN, Iran (CNN)  -- Members of Iran's national soccer team wore green arm and wrist bands Wednesday during their World Cup qualifying match against South Korea. Members of Iran's National Soccer Team sport green bands in their game against South Korea on Wednesday. The team does not normally wear green bands. Many Iranians are viewing the team's bands as a sign of support for Iranian opposition leader Mir Hossein Moussavi, although that has not been confirmed. Green is the campaign color of Moussavi and has been widely worn by his supporters who have staged massive rallies in Tehran before and after last week's presidential election. Moussavi is disputing the results of the vote that gave President Mahmoud Ahmadinejad a second term and is calling for a new election. The players took the wrist bands off when the team came out for the second half of the game that was taking place in Seoul, South Korea. It is unclear whether the players were asked to remove the wrist bands. The match ended 1-1.",what is the campaign color,Green,"Many Iranians viewing team's bands as a sign of support for opposition leader .
Green is the campaign color of Mir Hossein Moussavi .
Iranian national team was playing a World Cup qualifier in Seoul, South Korea .",32
1617,SUMM_SHORT,L_STORY,SHORT,775,53,5,"(CNN) -- Both people who died of swine flu in the United States had pre-existing health problems, federal health authorities said Thursday in a report. A student uses disinfectant as she arrives Thursday at the National Technical Institute in Mexico City. The 22-month-old child who died April 27 of the flu, also called H1N1, had neonatal myasthenia gravis, an autoimmune disease, said the report, which was written by a virus investigation team at the Centers for Disease Control and Prevention and published online in the New England Journal of Medicine. The child -- who was from Mexico and who fell ill while visiting relatives in Texas -- also had a heart defect, problems swallowing and chronic hypoxia, the report said. The 33-year-old Texas woman who died last week was pregnant when she became ill, the article said. She had been diagnosed with asthma, rheumatoid arthritis and psoriasis. The details came in a summary of the 642 confirmed cases of H1N1 infection that were diagnosed between April 15 and May 5 in 41 states among patients ranging in age from 3 months to 81 years. Sixty percent were 18 years or younger and 18 percent had recently traveled to Mexico, the report said. It said that 36 of the 399 patients with confirmed H1N1 infection whose hospitalization status was known had been hospitalized. Of the 22 hospitalized patients for whom data were available, four were younger than 5. Nine had chronic medical conditions, some of which included Down Syndrome and congenital heart disease. Seven patients said they had traveled to Mexico during the week before onset of illness. Eleven of those 22 hospitalized patients had pneumonia and eight patients were treated in an intensive care unit. Four were placed on ventilators. As of Tuesday, 18 of the 22 patients who had been hospitalized had recovered, it said. In a conference call with reporters, CDC's Dr. Carolyn Bridges said epidemiologists would be scrutinizing the disease's spread in South America, where the cool season is set to begin. Flu virus ""prefers lower humidity and lower temperatures for transmission,"" she said. ""We'll be looking closely to the Southern Hemisphere during their winter to see what happens. That may give us some clues as to what to expect."" Brazil's health minister told reporters Thursday that four cases of H1N1 infection have been confirmed in Brazil. Three have been hospitalized and one is at home, said Health Minister Jose Gomes Temporao. One case is in Rio de Janeiro, two are in Sao Paolo and the fourth was in Minas Gerais in southeastern Brazil. Two of the patients had recently been in Mexico City; the other two had recently been in Florida, he said. Another 21 cases are suspected in Brazil, he said. In Buenos Aires, Health Minister Graciela Ocana confirmed Argentina's first H1N1 case -- a man who arrived April 25 from Mexico. The man was hospitalized in the capital and released after he recovered, Ocana said. The ultimate course of the disease remains unclear, said Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, who is involved in the effort to create a vaccine. ""We may be seeing the tip of the iceberg,"" he told CNN. ""We can't make any definitive projections about where this is going. It appears to be acting like a typical seasonal flu, only it's out of season. We shouldn't be seeing this much influenza and it's with a new virus and that's the cause fo the concern."" Asked when a vaccine might be available, he said, ""We hope to get doses by mid- to late fall."" Journalist Fabiana Frayssinet in Rio de Janeiro and Brian Byrnes in Buenos Aires contributed to this story.",What do Brazil report?,H1N1 infection,"Pre-existing conditions contributed to deaths of U.S. victims, officials say .
CDC report summarizes 642 confirmed cases of H1N1 infection .
Most hospitalized patients have recovered, report says .
Brazil reports four cases of H1N1 .",32
